영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,장르2,등급_le,관람객수_le,계절_le,계절,관객수_등급,장르_le
강릉,"(주)스튜디오 산타클로스엔터테인먼트,(주)아센디오,(주)제이앤씨미디어그룹",2021,11,760.0,4087.857177734375,범죄,청소년관람불가,6.76,5.0,5.88,4,3,1307,2,3,3,4
엔칸토: 마법의 세계,월트디즈니컴퍼니코리아 유한책임회사,2021,11,63.0,27396.021484375,애니메이션,전체관람가,7.81,6.5,7.154999999999999,0,2,1768,2,3,3,0
연애 빠진 로맨스,(주)씨제이이엔엠,2021,11,967.0,17480.279296875,멜로/로맨스,15세이상관람가,7.95,6.67,7.3100000000000005,3,1,1685,2,3,3,3
베놈 2: 렛 데어 비 카니지,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,10,63.0,61400.56640625,액션,15세이상관람가,6.39,5.5,5.945,1,1,1875,2,3,3,1
아담스 패밀리 2,유니버설픽쳐스인터내셔널 코리아(유),2021,11,750.0,27396.021484375,애니메이션,전체관람가,6.84,5.56,6.199999999999999,0,2,1768,2,3,3,0
디어 에반 핸슨,유니버설픽쳐스인터내셔널 코리아(유),2021,11,630.0,151.60000610351562,뮤지컬,12세이상관람가,7.2,5.75,6.475,17,0,157,2,3,1,17
고장난 론,월트디즈니컴퍼니코리아 유한책임회사,2021,10,904.0,26575.857421875,애니메이션,전체관람가,8.45,6.0,7.225,0,2,1762,2,3,3,0
프렌치 디스패치,월트디즈니컴퍼니코리아 유한책임회사,2021,11,273.0,4330.4287109375,코미디,15세이상관람가,7.89,6.6,7.244999999999999,6,1,1327,2,3,3,6
귀멸의 칼날: 남매의 연,(주)박수엔터테인먼트,2021,11,383.0,27396.021484375,애니메이션,15세이상관람가,7.21,7.5,7.355,0,1,1768,2,3,3,0
귀멸의 칼날: 나타구모산 편,(주)박수엔터테인먼트,2021,11,310.0,27396.021484375,애니메이션,15세이상관람가,8.26,6.0,7.13,0,1,1768,2,3,3,0
기적,롯데컬처웍스(주)롯데엔터테인먼트,2021,9,63.0,1755.908203125,드라마,12세이상관람가,8.55,6.0,7.275,2,0,1043,2,3,2,2
아네트,"그린나래미디어(주),주식회사 왓챠",2021,10,330.0,19155.623046875,드라마,15세이상관람가,7.49,7.17,7.33,2,1,1708,2,3,3,2
뱅드림! 필름 라이브 세컨드 스테이지,(주)애니플러스,2021,11,93.0,27396.021484375,애니메이션,전체관람가,8.86,6.152372881355932,7.506186440677966,0,2,1768,2,3,3,0
보이스,(주)씨제이이엔엠,2021,9,63.0,132.0,범죄,15세이상관람가,7.86,4.75,6.305,4,1,137,2,3,1,4
바다 탐험대 옥토넛 : 육지수호 대작전,와이드 릴리즈(주),2021,10,205.0,26575.857421875,애니메이션,전체관람가,7.7,6.0,6.85,0,2,1762,2,3,3,0
너에게 가는 길,(주)엣나인필름,2021,11,56.0,1746.6785888671875,다큐멘터리,12세이상관람가,9.22,7.25,8.235,8,0,1041,2,3,2,8
"틱, 틱... 붐!",씨제이 씨지브이(CJ CGV)(주),2021,11,108.0,98366.2890625,드라마,12세이상관람가,8.46,9.5,8.98,2,0,1919,2,3,3,2
퍼스트 카우,(주)영화사 진진,2021,11,38.0,98366.2890625,드라마,12세이상관람가,8.37,8.57,8.469999999999999,2,0,1919,2,3,3,2
007 노 타임 투 다이,유니버설픽쳐스인터내셔널 코리아(유),2021,9,63.0,243490.03125,액션,12세이상관람가,7.08,6.25,6.665,1,0,1990,2,3,3,1
메이드 인 이태리,오드,2021,11,124.0,98366.2890625,드라마,12세이상관람가,6.78,5.0,5.890000000000001,2,0,1919,2,3,3,2
동백,시네마 뉴원,2021,10,60.0,19155.623046875,드라마,12세이상관람가,7.55,5.0,6.275,2,0,1708,2,3,3,2
1984 최동원,(주)트리플픽쳐스,2021,11,172.0,1746.6785888671875,다큐멘터리,전체관람가,8.71,6.0,7.355,8,2,1041,2,3,2,8
라스트 듀얼: 최후의 결투,월트디즈니컴퍼니코리아 유한책임회사,2021,10,367.0,61400.56640625,액션,청소년관람불가,8.85,6.33,7.59,1,3,1875,2,3,3,1
세버그,예지림엔터테인먼트,2021,11,107.0,98366.2890625,드라마,15세이상관람가,7.33,5.0,6.165,2,1,1919,2,3,3,2
빌리 홀리데이,(주)디스테이션,2021,11,71.0,98366.2890625,드라마,청소년관람불가,7.45,6.0,6.725,2,3,1919,2,3,3,2
파워 오브 도그,씨제이 씨지브이(CJ CGV)(주),2021,11,113.0,98366.2890625,드라마,15세이상관람가,6.5,7.75,7.125,2,1,1919,2,3,3,2
후겟츠 웨슬리,(주)영화특별시에스엠씨,2021,11,89.0,4330.4287109375,코미디,12세이상관람가,6.38,6.0,6.1899999999999995,6,0,1327,2,3,3,6
프리 가이,월트디즈니컴퍼니코리아 유한책임회사,2021,8,750.0,20160.5,액션,12세이상관람가,8.47,6.75,7.61,1,0,1718,1,2,3,1
행복의 속도,(주)영화사 진진,2021,11,23.0,1746.6785888671875,다큐멘터리,전체관람가,7.44,6.0,6.720000000000001,8,2,1041,2,3,2,8
괴짜들의 로맨스,메가박스중앙(주),2021,11,152.0,17480.279296875,멜로/로맨스,12세이상관람가,7.06,6.0,6.529999999999999,3,0,1685,2,3,3,3
무녀도,(주)씨네필운,2021,11,49.0,151.60000610351562,뮤지컬,12세이상관람가,8.4,6.33,7.365,17,0,157,2,3,1,17
송해 1927,(주)스튜디오디에이치엘,2021,11,60.0,1746.6785888671875,다큐멘터리,12세이상관람가,8.32,6.0,7.16,8,0,1041,2,3,2,8
그림자꽃,(주)엣나인필름,2021,10,89.0,1010.3181762695312,다큐멘터리,12세이상관람가,6.38,6.5,6.4399999999999995,8,0,866,2,3,2,8
애프터: 관계의 함정,판씨네마(주),2021,10,378.0,196.44444274902344,멜로/로맨스,15세이상관람가,6.73,3.0,4.865,3,1,206,2,3,1,3
인질,(주)넥스트엔터테인먼트월드(NEW),2021,8,63.0,20160.5,액션,15세이상관람가,7.02,5.8,6.41,1,1,1718,1,2,3,1
라임크라임,(주)시네마달,2021,11,25.0,98366.2890625,드라마,15세이상관람가,8.0,6.0,7.0,2,1,1919,2,3,3,2
"러브 어페어: 우리가 말하는 것, 우리가 하는 것",주식회사 슈아픽처스,2021,11,32.0,98366.2890625,드라마,15세이상관람가,7.68,7.33,7.505,2,1,1919,2,3,3,2
한창나이 선녀님,(주)트리플픽쳐스,2021,10,74.0,1010.3181762695312,다큐멘터리,전체관람가,8.75,6.0,7.375,8,2,866,2,3,2,8
싱크홀,(주)쇼박스,2021,8,63.0,7816.11767578125,코미디,12세이상관람가,6.87,5.0,5.9350000000000005,6,0,1496,1,2,3,6
싸반,(주)라이크콘텐츠,2021,11,48.0,78264.1328125,공포(호러),15세이상관람가,5.26,4.5,4.88,5,1,1900,2,3,3,5
싸나희 순정,(주)마노엔터테인먼트,2021,11,41.0,98366.2890625,드라마,12세이상관람가,8.26,5.0,6.63,2,0,1919,2,3,3,2
뉴 오더,찬란,2021,11,31.0,58746.30859375,스릴러,청소년관람불가,7.8,6.33,7.0649999999999995,7,3,1871,2,3,3,7
더 하더 데이 폴,씨제이 씨지브이(CJ CGV)(주),2021,10,56.0,61400.56640625,액션,청소년관람불가,6.8,6.83,6.8149999999999995,1,3,1875,2,3,3,1
아워 미드나잇,필름다빈,2021,11,50.0,98366.2890625,드라마,12세이상관람가,8.5,6.67,7.585,2,0,1919,2,3,3,2
노회찬6411,"(주)리틀빅픽쳐스,시네마6411",2021,10,154.0,1010.3181762695312,다큐멘터리,12세이상관람가,9.0,6.5,7.75,8,0,866,2,3,2,8
언포기버블,씨제이 씨지브이(CJ CGV)(주),2021,11,41.0,98366.2890625,드라마,15세이상관람가,7.94,5.0,6.470000000000001,2,1,1919,2,3,3,2
"사비나: 그리스도를 위한 고난, 나치 시대",커넥트픽쳐스(주),2021,11,44.0,98366.2890625,드라마,12세이상관람가,9.47,5.0,7.235,2,0,1919,2,3,3,2
왕십리 김종분,㈜인디스토리,2021,11,32.0,1746.6785888671875,다큐멘터리,12세이상관람가,8.38,6.33,7.355,8,0,1041,2,3,2,8
첫눈이 사라졌다,(주)다자인소프트,2021,10,66.0,228.0,판타지,15세이상관람가,7.22,6.33,6.775,10,1,237,2,3,1,10
십개월의 미래,그린나래미디어(주),2021,10,158.0,19155.623046875,드라마,12세이상관람가,8.11,6.67,7.39,2,0,1708,2,3,3,2
