영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점
독친,(주)트리플픽쳐스,2023,11,52,314.0,공포(호러),15세이상관람가,5.0,4.0
물꽃의 전설,(주)영화사 진진,2023,8,33,293.0,다큐멘터리,전체관람가,7.75,6.0
플라워 킬링 문,롯데컬처웍스(주)롯데엔터테인먼트,2023,10,719,287.0,범죄,청소년관람불가,7.5,
뉴클리어 나우,(주)이놀미디어,2023,12,17,271.0,다큐멘터리,전체관람가,7.75,5.5
아버지의 마음,"(주)드림팩트엔터테인먼트,파이오니아21",2023,7,85,258.0,다큐멘터리,전체관람가,,
핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,더핑크퐁컴퍼니(주),2023,7,128,249.0,애니메이션,전체관람가,7.75,
바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,와이드 릴리즈(주),2023,8,245,230.0,애니메이션,전체관람가,9.38,6.0
붉은 장미의 추억,(주)프로젝트42,2023,11,5,223.0,드라마,12세이상관람가,8.08,6.67
리향,(주)영화사 그램,2023,12,1,203.0,드라마,12세이상관람가,8.83,7.5
너는 내 아들,"주식회사 블루필름웍스,(주)버킷스튜디오",2023,6,117,175.0,드라마,12세이상관람가,,
너를 부르는 시간,(주)박수엔터테인먼트,2023,11,36,174.0,멜로/로맨스,12세이상관람가,10.0,
5시부터 7시까지의 주희,"(주)모쿠슈라,㈜인디스토리",2023,11,41,158.0,드라마,12세이상관람가,7.75,5.0
아르고 원정대: 꼬마 영웅 패티의 대모험,(주)스튜디오디에이치엘,2023,9,516,156.0,애니메이션,전체관람가,,
용감한 시민,(주)마인드마크,2023,10,887,155.0,액션,15세이상관람가,7.0,6.6
세이퍼 앳 홈,(주)블루라벨픽쳐스,2023,11,14,152.0,범죄,15세이상관람가,6.94,5.5
크리에이터,월트디즈니컴퍼니코리아 유한책임회사,2023,10,878,151.0,SF,12세이상관람가,,8.6
절해고도,"아이 엠,무브먼트",2023,9,36,136.0,드라마,12세이상관람가,8.44,6.0
아워 프렌드,(주)디스테이션,2023,11,30,125.0,드라마,15세이상관람가,8.91,6.0
디셈버,(주)미디어캐슬,2023,12,5,122.0,드라마,15세이상관람가,7.71,7.33
비밀의 언덕,(주)엣나인필름,2023,7,56,120.0,기타,전체관람가,,6.33
렛 미 고,주식회사 풍경소리,2023,12,5,118.0,멜로/로맨스,청소년관람불가,,
밀수,(주)넥스트엔터테인먼트월드(NEW),2023,7,1932,116.0,액션,15세이상관람가,5.67,4.0
위시,월트디즈니컴퍼니코리아 유한책임회사,2024,1,1421,1356390.0,애니메이션,전체관람가,7.8,8.0
외계+인 2부,(주)씨제이이엔엠,2024,1,1390,1349620.0,기타,12세이상관람가,7.6,
서울의 봄,플러스엠 엔터테인먼트,2023,11,2328,1206194.0,드라마,12세이상관람가,6.35,6.0
노량: 죽음의 바다,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",2023,12,2196,1122234.0,사극,12세이상관람가,7.43,8.0
시민덕희,(주)쇼박스,2024,1,1272,662483.0,드라마,15세이상관람가,7.63,7.5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,(주)씨제이이엔엠,2023,12,883,344604.0,애니메이션,전체관람가,6.67,6.0
인투 더 월드,유니버설픽쳐스인터내셔널 코리아(유),2024,1,839,310382.0,애니메이션,전체관람가,7.12,6.0
웡카,워너브러더스 코리아(주),2024,1,1753,181301.0,판타지,전체관람가,7.33,5.5
아쿠아맨과 로스트 킹덤,워너브러더스 코리아(주),2023,12,965,154948.0,액션,12세이상관람가,6.55,5.0
괴물,(주)넥스트엔터테인먼트월드(NEW),2023,11,647,106484.0,드라마,12세이상관람가,7.02,6.33
길위에 김대중,"(주)아이오케이컴퍼니,(주)명필름,(주)시네마6411",2024,1,414,100950.0,다큐멘터리,12세이상관람가,8.76,5.0
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),2023,1,1023,76754.0,애니메이션,12세이상관람가,8.21,6.5
트롤: 밴드 투게더,유니버설픽쳐스인터내셔널 코리아(유),2023,12,845,70268.0,애니메이션,전체관람가,5.52,7.67
뽀로로 극장판 슈퍼스타 대모험,씨제이 씨지브이(CJ CGV)(주),2023,12,850,61723.0,애니메이션,전체관람가,7.9,
스즈메의 문단속: 다녀왔어,(주)쇼박스,2024,1,185,46900.0,애니메이션,12세이상관람가,,6.4
도그맨,(주)레드아이스 엔터테인먼트,2024,1,496,43282.0,드라마,15세이상관람가,,5.5
덤 머니,"그린나래미디어(주),(주)플레이그램",2024,1,465,36318.0,코미디,15세이상관람가,10.0,
지오디 마스터피스 더 무비,씨제이 씨지브이(CJ CGV)(주),2024,1,75,31346.0,공연,전체관람가,6.4,
말하고 싶은 비밀,"(주)바이포엠스튜디오,홀리가든",2023,12,401,31289.0,멜로/로맨스,전체관람가,,6.5
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",와이드 릴리즈(주),2023,12,215,27833.0,애니메이션,전체관람가,7.8,6.5
크레센도,오드,2023,12,81,27565.0,다큐멘터리,전체관람가,7.57,7.0
엔드 오브 에반게리온,(주)라이크콘텐츠,2024,1,130,26776.0,애니메이션,청소년관람불가,,6.5
도티와 영원의 탑,(주)넥스트엔터테인먼트월드(NEW),2023,12,370,26126.0,애니메이션,전체관람가,6.5,5.0
류이치 사카모토: 오퍼스,"(주)엣나인필름,메가박스중앙(주)",2023,12,251,21544.0,공연,전체관람가,8.08,6.0
나의 올드 오크,(주)영화사 진진,2024,1,83,16815.0,드라마,15세이상관람가,8.39,6.86
립세의 사계,(주)디스테이션,2024,1,186,14133.0,애니메이션,15세이상관람가,7.85,5.0
3일의 휴가,(주)쇼박스,2023,12,863,12146.0,판타지,12세이상관람가,7.13,6.0
세기말의 사랑,"(주)엔케이컨텐츠,(주)디스테이션",2024,1,123,10617.0,드라마,12세이상관람가,7.0,
사랑은 낙엽을 타고,찬란,2023,12,40,10609.0,멜로/로맨스,12세이상관람가,7.54,5.0
걸즈 앤 판처 최종장 제4화,(주)디스테이션,2024,1,40,9801.0,애니메이션,12세이상관람가,8.52,7.0
추락의 해부,(주)스튜디오디에이치엘,2024,1,236,9779.0,드라마,15세이상관람가,,
리빙: 어떤 인생,(주)티캐스트,2023,12,50,7630.0,드라마,12세이상관람가,8.13,
노 베어스,M&M 인터내셔널,2024,1,41,7315.0,드라마,12세이상관람가,9.16,7.0
라이즈,(주)무비다이브,2024,1,68,6624.0,드라마,15세이상관람가,8.25,6.6
클레오의 세계,"그린나래미디어(주),(주)하이스트레인저",2024,1,47,5182.0,드라마,전체관람가,8.83,5.5
레트리뷰션,메가박스중앙(주),2024,1,202,4976.0,액션,15세이상관람가,8.43,
킹덤 3: 운명의 불꽃,"(주)이놀미디어,(주)플레이그램",2024,1,136,4945.0,액션,15세이상관람가,8.84,6.0
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,메가박스중앙(주),2023,10,78,4643.0,애니메이션,전체관람가,7.01,5.0
넥스트 골 윈즈,월트디즈니컴퍼니코리아 유한책임회사,2024,1,156,4546.0,코미디,전체관람가,7.2,6.5
그대들은 어떻게 살 것인가,메가박스중앙(주),2023,10,1733,4209.0,애니메이션,전체관람가,5.71,
영화 스미코구라시 - 튀어나오는 그림책과 비밀의 아이,(주)미디어캐슬,2024,1,101,4135.0,애니메이션,전체관람가,8.59,7.17
클럽 제로,판씨네마(주),2024,1,60,4068.0,미스터리,12세이상관람가,5.14,
너와 나,"주식회사 필름영,그린나래미디어(주)",2023,10,76,3623.0,드라마,12세이상관람가,6.83,4.0
이어지는 땅,필름다빈,2024,1,30,3412.0,드라마,12세이상관람가,6.14,5.0
"주사위놀이, 마불 세계여행",(주)니즈텔레콤,2024,1,1,3117.0,어드벤처,전체관람가,5.45,4.0
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,메가박스중앙(주),2023,10,79,2832.0,애니메이션,전체관람가,7.97,7.5
비욘드 유토피아,"(주)홈초이스,(주)드림팩트엔터테인먼트,(주)스마일이엔티",2024,1,158,2473.0,다큐멘터리,12세이상관람가,,8.0
나폴레옹,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023,12,822,2321.0,전쟁,15세이상관람가,8.2,
정글번치: 월드투어,(주)무비다이브,2024,1,193,2285.0,애니메이션,전체관람가,0.0,
티처스 라운지,(주)스튜디오디에이치엘,2023,12,29,1896.0,드라마,12세이상관람가,0.0,
메이킹 다큐멘터리 `스즈메의 문단속`을 따라가다,(주)쇼박스,2024,1,42,1774.0,다큐멘터리,전체관람가,5.78,
소녀는 졸업하지 않는다,해피송,2024,1,42,1684.0,멜로/로맨스,12세이상관람가,,
쏘우 X,"(주)올스타엔터테인먼트,(주)플레이그램",2023,12,571,1644.0,공포(호러),청소년관람불가,9.15,6.0
힐마 아프 클린트 - 미래를 위한 그림,(주)마노엔터테인먼트,2023,12,24,1431.0,다큐멘터리,전체관람가,,
스즈메의 문단속,(주)쇼박스,2023,3,1486,1416.0,애니메이션,12세이상관람가,7.17,6.0
블루 자이언트,판씨네마(주),2023,10,574,1223.0,애니메이션,12세이상관람가,8.94,8.5
울산의 별,영화로운 형제,2024,1,21,1211.0,드라마,15세이상관람가,7.49,7.5
아톰 새로운 시작,주식회사 블루필름웍스,2024,1,144,1120.0,애니메이션,전체관람가,8.0,3.5
싱글 인 서울,롯데컬처웍스(주)롯데엔터테인먼트,2023,11,917,1076.0,멜로/로맨스,12세이상관람가,6.0,
어른 김장하,(주)시네마달,2023,11,98,1056.0,다큐멘터리,전체관람가,8.66,9.0
