영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점
소울,월트디즈니컴퍼니코리아 유한책임회사,2021,1,2018,875001.0,애니메이션,전체관람가,9.32,8.5
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380,206309.0,애니메이션,15세이상관람가,,6.0
원더 우먼 1984,워너브러더스 코리아(주),2020,12,2260,155562.0,액션,12세이상관람가,7.54,5.5
세자매,(주)리틀빅픽쳐스,2021,1,569,42290.0,드라마,15세이상관람가,8.95,5.0
명탐정 코난: 진홍의 수학여행,(주)씨제이이엔엠,2021,1,532,38131.0,애니메이션,12세이상관람가,8.02,5.0
조제,워너브러더스 코리아(주),2020,12,1179,23337.0,멜로/로맨스,15세이상관람가,8.2,5.6
아이 엠 우먼,(주)팝엔터테인먼트,2021,1,494,21913.0,드라마,15세이상관람가,9.43,6.0
도굴,(주)씨제이이엔엠,2020,11,1635,21729.0,범죄,12세이상관람가,0.0,5.0
뱅가드,(주)디스테이션,2020,12,265,21166.0,액션,12세이상관람가,3.41,3.67
블라인드,주식회사 컨텐츠썬,2021,1,239,18297.0,드라마,15세이상관람가,9.35,5.67
#아이엠히어,(주)넥스트엔터테인먼트월드(NEW),2021,1,432,16290.0,멜로/로맨스,12세이상관람가,8.52,5.0
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,2021,1,308,14682.0,애니메이션,전체관람가,9.0,6.0
커넥트,(주)이수C&E,2021,1,386,14140.0,공포(호러),15세이상관람가,,5.0
미스터 존스,(주)디오시네마,2021,1,277,10727.0,드라마,15세이상관람가,,5.5
나는 나를 해고하지 않는다,(주)영화사 진진,2021,1,313,9660.0,드라마,12세이상관람가,8.17,6.8
북스마트,(주)콘텐츠판다,2021,1,163,9435.0,코미디,15세이상관람가,8.49,6.5
완벽한 가족,(주)제이앤씨미디어그룹,2021,1,318,8659.0,드라마,15세이상관람가,7.26,6.0
나이팅게일,(주)제이앤씨미디어그룹,2020,12,329,8340.0,스릴러,청소년관람불가,8.71,6.0
토이 솔져스: 가짜사나이2 더 컴플리트,씨제이포디플렉스 주식회사,2021,1,155,7991.0,다큐멘터리,15세이상관람가,8.15,
마이 미씽 발렌타인,(주)트리플픽쳐스,2021,1,153,7796.0,멜로/로맨스,12세이상관람가,8.63,6.0
파힘,(주)디스테이션,2021,1,165,6547.0,드라마,전체관람가,8.16,5.33
이웃사촌,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020,11,1363,6518.0,드라마,12세이상관람가,8.31,5.0
테넷,워너브러더스 코리아(주),2020,8,2228,6271.0,액션,12세이상관람가,8.73,7.25
걸,(주)리틀빅픽쳐스,2021,1,239,4853.0,드라마,15세이상관람가,,6.33
런,(주)올스타엔터테인먼트,2020,11,799,4754.0,미스터리,15세이상관람가,8.53,6.5
100% 울프: 푸들이 될 순 없어,(주)팝엔터테인먼트,2020,12,370,4732.0,애니메이션,전체관람가,8.52,6.0
모추어리 컬렉션,(주)이놀미디어,2021,1,115,3767.0,판타지,청소년관람불가,6.36,6.25
가을의 마티네,찬란,2020,12,19,3682.0,멜로/로맨스,12세이상관람가,8.9,5.33
극장판 바이올렛 에버가든,(주)라이크콘텐츠,2020,11,131,3623.0,애니메이션,전체관람가,9.53,6.5
빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,2021,1,98,3541.0,드라마,전체관람가,9.23,6.0
운디네,M&M 인터내셔널,2020,12,42,3222.0,드라마,12세이상관람가,8.38,8.0
사일런싱,(주)홈초이스,2021,1,89,2873.0,공포(호러),15세이상관람가,,
큰엄마의 미친봉고,(주)백그림,2021,1,67,2802.0,코미디,12세이상관람가,6.04,6.0
더 시크릿,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",2021,1,72,2796.0,스릴러,15세이상관람가,6.67,6.55
래시 컴 홈,찬란,2021,1,13,2498.0,가족,전체관람가,7.66,6.0
관계의 가나다에 있는 우리는,(주)시네마달,2021,1,39,2380.0,드라마,전체관람가,8.38,5.5
미스터 보스,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",2020,12,226,2313.0,드라마,15세이상관람가,6.5,3.67
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020,1,120,2253.0,드라마,15세이상관람가,9.15,9.5
썸머 85,찬란,2020,12,126,2200.0,멜로/로맨스,15세이상관람가,8.59,7.25
제이티 르로이,(주)영화사 빅,2021,1,93,1977.0,드라마,15세이상관람가,8.17,5.67
라스트 프론티어,(주)까멜리아이엔티,2021,1,20,1840.0,전쟁,15세이상관람가,8.22,5.0
리플레이,(주)다자인소프트,2020,12,242,1586.0,드라마,12세이상관람가,,5.0
언플랜드,(주)영화사오원,2020,12,281,1430.0,드라마,15세이상관람가,9.62,3.5
"내 어깨 위 고양이, 밥 2",(주)영화특별시에스엠씨,2020,12,202,1347.0,가족,전체관람가,,
크루아상,하준사,2021,1,42,1221.0,드라마,12세이상관람가,9.8,3.5
라이어트: 기계들의 역습,(주)노바이앤티,2020,12,52,1205.0,SF,15세이상관람가,3.71,
럭키 몬스터,(주)영화사 그램,2020,12,101,1135.0,드라마,청소년관람불가,7.92,5.5
누군가 어디에서 나를 기다리면 좋겠다,(주)영화사 진진,2020,12,54,1091.0,드라마,15세이상관람가,7.57,5.0
800,"TCO(주)더콘텐츠온,(주)디스테이션",2020,12,223,1076.0,전쟁,15세이상관람가,3.37,5.0
족벌 두 신문 이야기,(주)엣나인필름,2021,1,10,1030.0,다큐멘터리,12세이상관람가,9.93,5.5
438일,(주)에스와이코마드,2021,1,40,1000.0,드라마,15세이상관람가,8.04,
마라가 큰 결정을 해야 해,(주)영화사오원,2021,1,79,856.0,멜로/로맨스,15세이상관람가,4.69,
천사는 바이러스,주식회사 씨엠닉스,2021,1,44,816.0,드라마,15세이상관람가,8.76,
요요현상,영화배급협동조합 씨네소파,2021,1,27,804.0,다큐멘터리,전체관람가,9.33,6.67
나의 작은 동무,(주)라이크콘텐츠,2021,1,40,777.0,드라마,12세이상관람가,8.83,6.33
부활: 그 증거,(주)영화사 진진,2020,10,111,619.0,다큐멘터리,전체관람가,9.82,4.0
함께 있을 수 있다면,(주)영화사 진진,2020,12,30,612.0,멜로/로맨스,12세이상관람가,8.92,5.67
추억의 검정고무신,(주)대교 미디어콘텐츠사업본부,2020,11,215,582.0,애니메이션,전체관람가,5.87,5.0
귀여운 남자,(주)드림팩트엔터테인먼트,2021,1,41,546.0,코미디,15세이상관람가,5.38,
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020,10,149,526.0,애니메이션,15세이상관람가,9.5,
스웨그,(주)영화사오원,2020,12,118,501.0,드라마,15세이상관람가,9.71,4.0
전쟁,(주)제이앤씨미디어그룹,2020,12,35,496.0,액션,15세이상관람가,,7.67
삼진그룹 영어토익반,롯데컬처웍스(주)롯데엔터테인먼트,2020,10,1615,484.0,드라마,12세이상관람가,9.01,7.0
골든맨,예지림엔터테인먼트,2021,1,25,441.0,범죄,15세이상관람가,6.29,
게임의 법칙: 인간사냥,(주)제이앤씨미디어그룹,2021,1,20,381.0,스릴러,청소년관람불가,3.61,
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,와이드 릴리즈(주),2020,11,187,370.0,애니메이션,전체관람가,9.0,7.0
레전더리 콘서트: 레너드 번스타인,(주)케빈앤컴퍼니,2021,1,12,366.0,공연,전체관람가,10.0,
뮤직 앤 리얼리티,"(주)미로스페이스,(주)스튜디오 보난자",2020,12,38,350.0,드라마,12세이상관람가,8.8,5.0
사라센의 칼,(주)콘텐츠윙,2021,1,14,348.0,드라마,15세이상관람가,9.07,3.0
토스카,일미디어,2020,12,4,325.0,공연,12세이상관람가,5.0,10.0
가나의 혼인잔치: 언약,"(재)CBS,주식회사 블루필름웍스",2020,11,116,323.0,다큐멘터리,전체관람가,9.54,4.0
피아니스트의 마지막 인터뷰,판씨네마(주),2020,11,55,321.0,드라마,전체관람가,9.03,5.5
"오늘, 우리 2",필름다빈,2021,1,14,317.0,드라마,12세이상관람가,8.11,5.5
나이트 언데드,(주)원더스컴퍼니,2021,1,20,311.0,미스터리,15세이상관람가,3.33,
내언니전지현과 나,호우주의보,2020,12,36,306.0,다큐멘터리,12세이상관람가,9.21,6.67
극장판 기븐,(주)애니플러스,2020,11,103,301.0,애니메이션,15세이상관람가,,5.0
선샤인 패밀리,시네마 뉴원,2020,12,26,281.0,드라마,12세이상관람가,7.5,
장 미쉘 바스키아: 더 레이디언트 차일드,롯데컬처웍스(주)롯데엔터테인먼트,2020,12,18,261.0,다큐멘터리,12세이상관람가,9.0,
겨울밤에,㈜인디스토리,2020,12,49,251.0,드라마,12세이상관람가,7.84,7.4
디노소어 어드벤쳐,(주)제이앤씨미디어그룹,2021,1,26,227.0,어드벤처,15세이상관람가,10.0,
찬실이는 복도 많지,찬란,2020,3,241,211.0,드라마,전체관람가,9.16,7.0
금의위 3인의 무사,(유)조이앤시네마,2021,1,20,210.0,액션,15세이상관람가,0.0,
마틴 에덴,알토미디어(주),2020,10,60,197.0,드라마,12세이상관람가,9.05,8.0
파티마의 기적,(주)디스테이션,2020,12,162,161.0,드라마,12세이상관람가,9.19,6.0
잔칫날,(주)트리플픽쳐스,2020,12,240,158.0,드라마,12세이상관람가,9.36,6.0
남매의 여름밤,그린나래미디어(주),2020,8,133,144.0,드라마,전체관람가,9.07,7.83
호프,(주)이놀미디어,2020,12,171,137.0,드라마,12세이상관람가,,6.5
소년시절의 너,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",2020,7,252,97.0,멜로/로맨스,15세이상관람가,8.97,6.25
마지막 휴가,(주)드림팩트엔터테인먼트,2020,12,11,89.0,기타,15세이상관람가,9.17,3.0
에이리,(주)미디어캐슬,2021,1,1,86.0,미스터리,15세이상관람가,8.67,6.0
라 보엠,(주)케빈앤컴퍼니,2020,11,7,72.0,공연,전체관람가,0.0,
담보,(주)씨제이이엔엠,2020,9,1342,71.0,드라마,12세이상관람가,9.16,5.0
에이전트 미스터 찬,(주)라온컴퍼니플러스,2021,1,1,60.0,코미디,12세이상관람가,0.0,
해브 어 나이스 데이,(주)라온컴퍼니플러스,2021,1,1,60.0,애니메이션,15세이상관람가,0.0,
황금화 : 엄마의 일기,(주)라온컴퍼니플러스,2021,1,1,60.0,드라마,15세이상관람가,0.0,
걸후드,(주)영화특별시에스엠씨,2020,11,175,59.0,드라마,12세이상관람가,9.0,7.5
그리고 우린 춤을 추었다,(주)엣나인필름,2020,11,79,59.0,드라마,15세이상관람가,8.26,6.8
"그리고, 살아간다",(주)미디어캐슬,2021,1,1,52.0,드라마,12세이상관람가,7.83,
에듀케이션,영화배급협동조합 씨네소파,2020,11,23,50.0,드라마,12세이상관람가,8.75,7.0
애비규환,(주)리틀빅픽쳐스,2020,11,453,49.0,드라마,12세이상관람가,8.25,6.0
그날이 온다,(주)제이앤씨미디어그룹,2020,12,105,46.0,코미디,15세이상관람가,4.57,5.5
봉쇄수도원 카르투시오,커넥트픽쳐스(주),2020,11,125,45.0,다큐멘터리,전체관람가,9.92,6.5
안티고네,"그린나래미디어(주),(주)키다리이엔티",2020,11,130,43.0,드라마,15세이상관람가,8.57,6.5
교실 안의 야크,주식회사 슈아픽처스,2020,9,30,39.0,드라마,전체관람가,9.06,7.0
로맨틱 코미디,(주)영화사 안다미로,2020,12,28,33.0,다큐멘터리,12세이상관람가,7.2,6.0
미스터트롯: 더 무비,(주)영화사 그램,2020,10,449,29.0,공연,전체관람가,9.0,5.0
포기와 베스,(주) 인스터 글로벌,2020,10,7,28.0,공연,12세이상관람가,,
극장판 미니특공대: 햄버거괴물의 습격,(주)리틀빅픽쳐스,2020,9,414,26.0,애니메이션,전체관람가,9.0,6.0
음악,(주)미디어캐슬,2021,1,1,24.0,애니메이션,12세이상관람가,,
페이블,쇼치쿠,2021,1,1,21.0,코미디,15세이상관람가,6.63,
공포분자,(주)에이썸엔터테인먼트,2020,9,52,19.0,드라마,15세이상관람가,8.52,8.2
머리카락,"목영이엔엠,(주)다자인소프트",2020,12,12,19.0,다큐멘터리,전체관람가,8.18,4.67
베이 오브 사일런스,㈜코리아스크린,2021,1,5,19.0,미스터리,15세이상관람가,0.0,
블러드하운드,(주)퍼스트런,2021,1,5,17.0,미스터리,15세이상관람가,,
도둑까치,일미디어,2020,11,4,16.0,공연,전체관람가,,
나의 인생여행,(주)라이크콘텐츠,2020,12,31,13.0,드라마,15세이상관람가,7.29,6.0
버든: 세상을 바꾸는 힘,(주)제이앤씨미디어그룹,2020,11,82,13.0,드라마,15세이상관람가,7.81,6.0
8년을 뛰어넘은 신부,(주)미디어캐슬,2021,5,1,12.0,가족,전체관람가,9.36,
맹크,메가박스중앙(주)플러스엠,2020,11,100,11.0,드라마,15세이상관람가,,8.17
스페셜 솔져,(유)조이앤시네마,2020,12,5,10.0,액션,15세이상관람가,1.33,
탱크 투 베를린,(주)제이앤씨미디어그룹,2020,12,16,8.0,액션,15세이상관람가,8.0,
증발,㈜인디스토리,2020,11,35,7.0,다큐멘터리,전체관람가,6.27,6.0
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,(주)이수C&E,2020,9,591,6.0,애니메이션,전체관람가,8.51,5.0
마티아스와 막심,(주)엣나인필름,2020,7,91,5.0,드라마,15세이상관람가,8.07,6.67
프리키 데스데이,유니버설픽쳐스인터내셔널 코리아(유),2020,11,631,4.0,코미디,청소년관람불가,,5.67
스카이와 친구들: 로보시티의 비밀,와이드 릴리즈(주),2020,12,83,2.0,애니메이션,전체관람가,1.0,
버스납치,(주)영진크리에이티브,2021,1,1,1.0,코미디,12세이상관람가,5.0,
웬디고: 전설의 몬스터,(주)영화사 안다미로,2021,1,1,1.0,공포(호러),15세이상관람가,4.5,
파이널 리벤지,(주)스토리제이,2021,1,1,1.0,전쟁,15세이상관람가,4.0,
소울,월트디즈니컴퍼니코리아 유한책임회사,2021,1,2018,1005644.0,애니메이션,전체관람가,9.32,8.5
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380,686807.0,애니메이션,15세이상관람가,,6.0
미션 파서블,(주)메리크리스마스,2021,2,930,331069.0,코미디,15세이상관람가,8.41,4.5
새해전야,(주)에이스메이커무비웍스,2021,2,906,168168.0,멜로/로맨스,12세이상관람가,8.38,5.5
몬스터 헌터,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,2,668,101631.0,액션,12세이상관람가,0.0,4.5
카오스 워킹,롯데컬처웍스(주)롯데엔터테인먼트,2021,2,780,99826.0,어드벤처,15세이상관람가,7.36,5.0
톰과 제리,워너브러더스 코리아(주),2021,2,918,91341.0,애니메이션,전체관람가,8.03,7.0
어니스트 씨프,(주)올스타엔터테인먼트,2021,2,554,80111.0,액션,15세이상관람가,8.65,4.0
세자매,(주)리틀빅픽쳐스,2021,1,569,38850.0,드라마,15세이상관람가,8.95,5.0
아이,롯데컬처웍스(주)롯데엔터테인먼트,2021,2,504,37303.0,드라마,15세이상관람가,,6.0
명탐정 코난: 진홍의 수학여행,(주)씨제이이엔엠,2021,1,532,24441.0,애니메이션,12세이상관람가,8.02,5.0
퍼펙트 케어,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021,2,308,21576.0,범죄,15세이상관람가,9.06,6.0
고백,(주)리틀빅픽쳐스,2021,2,255,20052.0,드라마,15세이상관람가,8.0,8.0
드림빌더,(주)트리플픽쳐스,2021,2,327,17929.0,애니메이션,전체관람가,8.79,6.0
송가인 더 드라마,(주)영화특별시에스엠씨,2021,2,117,16100.0,공연,전체관람가,9.08,
더블패티,"케이티하이텔(주),판씨네마(주)",2021,2,265,13341.0,드라마,15세이상관람가,9.14,5.0
페어웰,오드,2021,2,162,12234.0,가족,전체관람가,,6.67
엘프,(주)박수엔터테인먼트,2021,2,228,11859.0,애니메이션,전체관람가,8.78,5.0
워 위드 그랜파,"(주)키다리이엔티,(주)태양미디어그룹",2021,2,322,10379.0,코미디,12세이상관람가,7.88,5.5
스트레스 제로,(주)트리플픽쳐스,2021,2,157,8541.0,애니메이션,전체관람가,8.44,5.5
빛과 철,찬란,2021,2,161,8244.0,드라마,12세이상관람가,8.37,6.5
마리오네트,(주)이놀미디어,2021,2,138,7318.0,미스터리,12세이상관람가,,3.0
나는 나를 해고하지 않는다,(주)영화사 진진,2021,1,313,7250.0,드라마,12세이상관람가,8.17,6.8
라스트 레터,(주)스튜디오 산타클로스엔터테인먼트,2021,2,160,6652.0,멜로/로맨스,전체관람가,8.3,6.17
더 레이서,(주)다자인소프트,2021,2,146,6470.0,드라마,15세이상관람가,8.2,6.5
세상의 모든 디저트: 러브 사라,(주)티캐스트,2021,2,117,6253.0,드라마,12세이상관람가,7.4,5.5
북스마트,(주)콘텐츠판다,2021,1,163,4994.0,코미디,15세이상관람가,8.49,6.5
호라이즌 라인,(주)제이앤씨미디어그룹,2021,2,80,4718.0,스릴러,12세이상관람가,5.28,5.0
디지몬 어드벤처 : 라스트 에볼루션 인연,(주)얼리버드픽쳐스,2021,2,70,4344.0,애니메이션,12세이상관람가,,
프라미싱 영 우먼,유니버설픽쳐스인터내셔널 코리아(유),2021,2,70,4284.0,범죄,15세이상관람가,7.83,7.0
인투 더 미러,(주)팝엔터테인먼트,2021,2,219,4198.0,SF,15세이상관람가,10.0,5.33
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,(주)애니플러스,2021,2,91,4109.0,애니메이션,15세이상관람가,6.08,
시간의 끝에서 널 기다려,(주)디스테이션,2021,2,111,4094.0,드라마,12세이상관람가,,5.0
잃어버린 얼굴 1895,(재)서울예술단,2021,2,63,3771.0,뮤지컬,전체관람가,7.08,4.0
해변의 에트랑제,(주)팝엔터테인먼트,2021,2,92,3707.0,애니메이션,15세이상관람가,9.17,
토이 솔져스: 가짜사나이2 더 컴플리트,씨제이포디플렉스 주식회사,2021,1,155,3125.0,다큐멘터리,15세이상관람가,8.15,
이 안에 외계인이 있다,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",2021,2,121,3068.0,코미디,12세이상관람가,8.91,4.5
ARKO LIVE 뮤지컬 시데레우스,(주)아이디어랩,2021,2,14,2992.0,뮤지컬,전체관람가,,
서바이브 더 나잇,(주)퍼스트런,2021,2,11,2908.0,액션,15세이상관람가,3.35,4.0
리틀드래곤 코코넛2: 정글대탐험,(주)팝엔터테인먼트,2021,2,147,2620.0,애니메이션,전체관람가,6.5,6.0
"구라, 베토벤",목영이엔엠,2021,2,11,2602.0,기타,15세이상관람가,,5.0
용루각2: 신들의 밤,(주)그노스,2021,2,20,2435.0,액션,15세이상관람가,3.32,
로그시티,(주)올스타엔터테인먼트,2021,2,10,2327.0,범죄,청소년관람불가,6.6,6.0
폴리스,(주)퍼스트런,2021,2,10,2256.0,드라마,15세이상관람가,3.75,3.0
칙 파이트,주식회사 디에스이이디,2021,2,21,2234.0,액션,15세이상관람가,6.96,5.0
사일런싱,(주)홈초이스,2021,1,89,2137.0,공포(호러),15세이상관람가,,
살아남은 사람들,알토미디어(주),2021,2,35,1879.0,드라마,15세이상관람가,8.0,6.33
헬렌: 내 영혼의 자화상,(주)영화사 진진,2021,2,40,1430.0,드라마,12세이상관람가,8.13,6.5
부활: 그 증거,(주)영화사 진진,2020,10,111,1348.0,다큐멘터리,전체관람가,9.82,4.0
극장판 바이올렛 에버가든,(주)라이크콘텐츠,2020,11,131,1283.0,애니메이션,전체관람가,9.53,6.5
스푸트닉,(주)제이앤씨미디어그룹,2021,2,83,1191.0,SF,15세이상관람가,5.9,6.0
정브르의 동물일기,CGV ICECON,2021,2,51,987.0,다큐멘터리,전체관람가,8.5,
늑대와 빨간 재킷,판씨네마(주),2021,2,74,950.0,스릴러,청소년관람불가,5.38,3.5
간이역,(주)드림팩트엔터테인먼트,2021,2,48,852.0,드라마,12세이상관람가,7.4,3.5
블라인드,주식회사 컨텐츠썬,2021,1,239,843.0,드라마,15세이상관람가,9.35,5.67
큰엄마의 미친봉고,(주)백그림,2021,1,67,830.0,코미디,12세이상관람가,6.04,6.0
더 시크릿,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",2021,1,72,755.0,스릴러,15세이상관람가,6.67,6.55
관계의 가나다에 있는 우리는,(주)시네마달,2021,1,39,723.0,드라마,전체관람가,8.38,5.5
조제,워너브러더스 코리아(주),2020,12,1179,709.0,멜로/로맨스,15세이상관람가,8.2,5.6
아홉수 로맨스,(주)스튜디오 보난자,2021,2,24,608.0,멜로/로맨스,12세이상관람가,9.8,4.5
내겐 너무 어려운 연애,"(주)디오시네마,(주)태양미디어그룹",2021,2,32,602.0,코미디,12세이상관람가,,6.0
런,(주)올스타엔터테인먼트,2020,11,799,568.0,미스터리,15세이상관람가,8.53,6.5
미드나잇 버스,(주)라이크콘텐츠,2021,2,26,559.0,드라마,12세이상관람가,8.42,6.0
테넷,워너브러더스 코리아(주),2020,8,2228,502.0,액션,12세이상관람가,8.73,7.25
제이티 르로이,(주)영화사 빅,2021,1,93,421.0,드라마,15세이상관람가,8.17,5.67
라스칼라 갈라 콘서트: 별들을 다시 보려고,일미디어,2021,2,10,366.0,공연,전체관람가,9.8,
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020,1,120,365.0,드라마,15세이상관람가,9.15,9.5
원더 우먼 1984,워너브러더스 코리아(주),2020,12,2260,349.0,액션,12세이상관람가,7.54,5.5
극장판 기븐,(주)애니플러스,2020,11,103,342.0,애니메이션,15세이상관람가,,5.0
바바 야가: 숲의 악령,주식회사 풍경소리,2021,2,5,300.0,공포(호러),15세이상관람가,6.5,
이웃사촌,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020,11,1363,277.0,드라마,12세이상관람가,8.31,5.0
파힘,(주)디스테이션,2021,1,165,275.0,드라마,전체관람가,8.16,5.33
BBC프롬스: 아르헤리치와 바렌보임 콘서트,(주)케빈앤컴퍼니,2021,2,13,252.0,공연,전체관람가,,
데스 숏컷,(주)박수엔터테인먼트,2021,2,10,241.0,판타지,15세이상관람가,2.62,3.0
커넥트,(주)이수C&E,2021,1,386,234.0,공포(호러),15세이상관람가,,5.0
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020,10,149,200.0,애니메이션,15세이상관람가,9.5,
마이 미씽 발렌타인,(주)트리플픽쳐스,2021,1,153,193.0,멜로/로맨스,12세이상관람가,8.63,6.0
라이브 하드,(주)드림팩트엔터테인먼트,2021,2,10,157.0,드라마,15세이상관람가,8.07,6.5
요요현상,영화배급협동조합 씨네소파,2021,1,27,128.0,다큐멘터리,전체관람가,9.33,6.67
사라센의 칼,(주)콘텐츠윙,2021,1,14,124.0,드라마,15세이상관람가,9.07,3.0
파티마의 기적,(주)디스테이션,2020,12,162,121.0,드라마,12세이상관람가,9.19,6.0
골든맨,예지림엔터테인먼트,2021,1,25,119.0,범죄,15세이상관람가,6.29,
에이리,(주)미디어캐슬,2021,1,1,118.0,미스터리,15세이상관람가,8.67,6.0
"그리고, 살아간다",(주)미디어캐슬,2021,1,1,117.0,드라마,12세이상관람가,7.83,
#아이엠히어,(주)넥스트엔터테인먼트월드(NEW),2021,1,432,114.0,멜로/로맨스,12세이상관람가,8.52,5.0
일론 머스크: 리얼 아이언맨,(주)마노엔터테인먼트,2021,2,1,101.0,다큐멘터리,전체관람가,5.29,
운디네,M&M 인터내셔널,2020,12,42,100.0,드라마,12세이상관람가,8.38,8.0
게임의 법칙: 인간사냥,(주)제이앤씨미디어그룹,2021,1,20,93.0,스릴러,청소년관람불가,3.61,
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,와이드 릴리즈(주),2020,11,187,89.0,애니메이션,전체관람가,9.0,7.0
족벌 두 신문 이야기,(주)엣나인필름,2021,1,10,89.0,다큐멘터리,12세이상관람가,9.93,5.5
천사는 바이러스,주식회사 씨엠닉스,2021,1,44,88.0,드라마,15세이상관람가,8.76,
"오늘, 우리 2",필름다빈,2021,1,14,83.0,드라마,12세이상관람가,8.11,5.5
내언니전지현과 나,호우주의보,2020,12,36,82.0,다큐멘터리,12세이상관람가,9.21,6.67
438일,(주)에스와이코마드,2021,1,40,74.0,드라마,15세이상관람가,8.04,
8년을 뛰어넘은 신부,(주)미디어캐슬,2021,5,1,69.0,가족,전체관람가,9.36,
디노소어 어드벤쳐,(주)제이앤씨미디어그룹,2021,1,26,65.0,어드벤처,15세이상관람가,10.0,
더 넌 : 돌아온 저주,(주)라온컴퍼니플러스,2021,2,1,60.0,공포(호러),15세이상관람가,3.5,
우당탕탕 캠핑가족,(주)라온컴퍼니플러스,2021,2,1,60.0,코미디,12세이상관람가,0.0,
홀리데이 헬,(주)라온컴퍼니플러스,2021,2,1,60.0,공포(호러),15세이상관람가,0.0,
아이 엠 우먼,(주)팝엔터테인먼트,2021,1,494,59.0,드라마,15세이상관람가,9.43,6.0
음악,(주)미디어캐슬,2021,1,1,53.0,애니메이션,12세이상관람가,,
방황하는 네덜란드인,(주)케빈앤컴퍼니,2021,2,7,51.0,공연,12세이상관람가,0.0,
장 미쉘 바스키아: 더 레이디언트 차일드,롯데컬처웍스(주)롯데엔터테인먼트,2020,12,18,51.0,다큐멘터리,12세이상관람가,9.0,
크루아상,하준사,2021,1,42,49.0,드라마,12세이상관람가,9.8,3.5
남매의 여름밤,그린나래미디어(주),2020,8,133,42.0,드라마,전체관람가,9.07,7.83
도굴,(주)씨제이이엔엠,2020,11,1635,38.0,범죄,12세이상관람가,0.0,5.0
라스트 특공대,(주)제이앤씨미디어그룹,2021,2,5,38.0,전쟁,15세이상관람가,8.67,
미스터 존스,(주)디오시네마,2021,1,277,38.0,드라마,15세이상관람가,,5.5
겨울밤에,㈜인디스토리,2020,12,49,36.0,드라마,12세이상관람가,7.84,7.4
피아니스트의 마지막 인터뷰,판씨네마(주),2020,11,55,36.0,드라마,전체관람가,9.03,5.5
가나의 혼인잔치: 언약,"(재)CBS,주식회사 블루필름웍스",2020,11,116,35.0,다큐멘터리,전체관람가,9.54,4.0
찬실이는 복도 많지,찬란,2020,3,241,34.0,드라마,전체관람가,9.16,7.0
라스트 프론티어,(주)까멜리아이엔티,2021,1,20,30.0,전쟁,15세이상관람가,8.22,5.0
빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,2021,1,98,28.0,드라마,전체관람가,9.23,6.0
완벽한 가족,(주)제이앤씨미디어그룹,2021,1,318,24.0,드라마,15세이상관람가,7.26,6.0
귀여운 남자,(주)드림팩트엔터테인먼트,2021,1,41,21.0,코미디,15세이상관람가,5.38,
데스 오브 미,(주)엔케이컨텐츠,2021,2,1,20.0,공포(호러),청소년관람불가,3.67,3.0
페이블,쇼치쿠,2021,1,1,20.0,코미디,15세이상관람가,6.63,
걸,(주)리틀빅픽쳐스,2021,1,239,19.0,드라마,15세이상관람가,,6.33
나의 작은 동무,(주)라이크콘텐츠,2021,1,40,16.0,드라마,12세이상관람가,8.83,6.33
럭키 몬스터,(주)영화사 그램,2020,12,101,16.0,드라마,청소년관람불가,7.92,5.5
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,2021,1,308,15.0,애니메이션,전체관람가,9.0,6.0
뮤직 앤 리얼리티,"(주)미로스페이스,(주)스튜디오 보난자",2020,12,38,13.0,드라마,12세이상관람가,8.8,5.0
금의위 3인의 무사,(유)조이앤시네마,2021,1,20,12.0,액션,15세이상관람가,0.0,
호프,(주)이놀미디어,2020,12,171,12.0,드라마,12세이상관람가,,6.5
가을의 마티네,찬란,2020,12,19,11.0,멜로/로맨스,12세이상관람가,8.9,5.33
언플랜드,(주)영화사오원,2020,12,281,10.0,드라마,15세이상관람가,9.62,3.5
