NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,파묘,장재현,"(주)쇼박스,(주)엠씨엠씨",,(주)쇼박스,20240222,개봉영화,장편,한국,2355,70718847542,7260067,16315095444,1634201,미스터리,15세이상관람가,일반영화
2,듄: 파트2,드니 빌뇌브,,워너브러더스 코리아(주),워너브러더스 코리아(주),20240228,개봉영화,장편,미국,1544,19141960349,1617500,7694492061,594961,액션,12세이상관람가,일반영화
3,댓글부대,안국진,"(주)영화적순간,주식회사 디믹스스튜디오",,(주)에이스메이커무비웍스,20240327,개봉영화,장편,한국,1228,5042399113,541058,1309676360,134016,범죄,15세이상관람가,일반영화
4,웡카,폴 킹,,워너브러더스 코리아(주),워너브러더스 코리아(주),20240131,개봉영화,장편,미국,1753,3838068524,401512,917615074,93348,판타지,전체관람가,일반영화
5,고질라 X 콩: 뉴 엠파이어,아담 윈가드,,워너브러더스 코리아(주),워너브러더스 코리아(주),20240327,개봉영화,장편,미국,996,3220812514,320982,750620276,69172,액션,12세이상관람가,일반영화
6,극장판 스파이 패밀리 코드 : 화이트,카타기리 타카시,,에스엠지홀딩스 주식회사,"(주)넥스트엔터테인먼트월드(NEW),(주)대교 미디어콘텐츠사업본부",20240320,개봉영화,장편,일본,917,2343723486,235008,734831757,70759,애니메이션,12세이상관람가,일반영화
7,브레드이발소: 셀럽 인 베이커리타운,정지환,㈜브레드이발소,,롯데컬처웍스(주)롯데엔터테인먼트,20240301,개봉영화,장편,한국,342,1474276210,173713,257237220,29166,애니메이션,전체관람가,일반영화
8,가여운 것들,요르고스 란티모스,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20240306,개봉영화,장편,미국,471,1421882806,142488,726871167,71551,드라마,청소년관람불가,독립/예술영화
9,건국전쟁,김덕영,다큐스토리,,다큐스토리,20240201,개봉영화,장편,한국,224,1250960217,138922,407485433,44118,다큐멘터리,12세이상관람가,일반영화
10,패스트 라이브즈,셀린 송,,,(주)씨제이이엔엠,20240306,개봉영화,장편,미국,613,1068021931,115193,529689540,55647,드라마,12세이상관람가,일반영화
11,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",소토자키 하루오,,애니맥스 브로드캐스팅 코리아 유한회사,씨제이 씨지브이(CJ CGV)(주),20240214,개봉영화,장편,일본,393,720819400,70124,193261000,18522,애니메이션,15세이상관람가,일반영화
12,아이엠 티라노,,,주식회사 원더스튜디오,"주식회사 원더스튜디오,영화사빅",20240301,개봉영화,장편,중국,229,396009500,47077,56482600,6753,애니메이션,전체관람가,일반영화
13,랜드 오브 배드,윌리엄 유뱅크,,(주)퍼스트런,메가박스중앙(주),20240313,개봉영화,장편,미국,394,378632312,44252,120825268,14199,액션,15세이상관람가,일반영화
14,밥 말리: 원 러브,레이날도 마커스 그린,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20240313,개봉영화,장편,미국,579,350834494,38585,144696272,15511,드라마,15세이상관람가,일반영화
15,1980,강승용,"히스토리 디앤피,(주)디에이치미디어,굿픽처스",,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",20240327,개봉영화,장편,한국,522,291901745,32237,87803183,9502,드라마,12세이상관람가,일반영화
16,메이 디셈버,토드 헤인즈,,판씨네마(주),판씨네마(주),20240313,개봉영화,장편,미국,400,278129018,30186,146605959,15320,드라마,청소년관람불가,독립/예술영화
17,소풍,김용균,(주)로케트필름,,롯데컬처웍스(주)롯데엔터테인먼트,20240207,개봉영화,장편,한국,729,235961384,27369,66471307,7592,드라마,12세이상관람가,독립/예술영화
18,로봇 드림,파블로 베르헤르,,(주)영화사 진진,"(주)영화사 진진,(주)하이스트레인저",20240313,개봉영화,장편,스페인,114,228413431,23298,142647988,14066,애니메이션,전체관람가,독립/예술영화
