NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,더 배트맨,맷 리브스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-03-,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
2,이상한 나라의 수학자,박동훈,(주)조이래빗,,(주)쇼박스,2022-03-,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
3,뜨거운 피,천명관,주식회사 고래픽처스,,"(주)스튜디오디에이치엘,(주)키다리스튜디오",2022-03-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
4,극장판 주술회전 0,박성후,,대원미디어(주),(주)대교 미디어콘텐츠사업본부,2022-02-,개봉영화,장편,일본,836,,,,,애니메이션,15세이상관람가,일반영화
5,문폴,롤랜드 에머리히,,(주)누리픽쳐스,(주)누리픽쳐스,2022-03-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
6,언차티드,루벤 플레셔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-02-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
7,모비우스,다니엘 에스피노사,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-03-,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
8,스펜서,파블로 라라인,,그린나래미디어(주),"(주)영화특별시에스엠씨,그린나래미디어(주)",2022-03-,개봉영화,장편,영국,730,,,,,드라마,12세이상관람가,독립/예술영화
9,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,나가사키 켄지,,대원미디어(주),(주)스마일이엔티,2022-03-,개봉영화,장편,일본,459,,,,,애니메이션,12세이상관람가,일반영화
10,안테벨룸,"제라드 부시,크리스토퍼 렌즈",,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,2022-02-,개봉영화,장편,미국,638,,,,,미스터리,15세이상관람가,독립/예술영화
11,블랙라이트,마크 윌리엄스,,(주)퍼스트런,(주)퍼스트런,2022-03-,개봉영화,장편,미국,521,,,,,액션,15세이상관람가,일반영화
12,인민을 위해 복무하라,장철수,"주식회사 표범영화사,(유)조이앤시네마",,(주)제이앤씨미디어그룹,2022-02-,개봉영화,장편,한국,598,,,,,멜로/로맨스,청소년관람불가,일반영화
13,스파이더맨: 노 웨이 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
14,나이트메어 앨리,기예르모 델 토로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-02-,개봉영화,장편,미국,461,,,,,범죄,15세이상관람가,일반영화
15,해적: 도깨비 깃발,김정훈,"(주)어뉴,오스카10스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2022-01-,개봉영화,장편,한국,,,,,,어드벤처,12세이상관람가,일반영화
16,배니싱: 미제사건,드니 데르쿠르,,(유)조이앤시네마,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022-03-,개봉영화,장편,프랑스,561,,,,,범죄,15세이상관람가,일반영화
17,킹메이커,변성현,(주)씨앗필름,,메가박스중앙(주)플러스엠,2022-01-,개봉영화,장편,한국,,,,,,드라마,15세이상관람가,일반영화
18,하늘의 푸르름을 아는 사람이여,나가이 타츠유키,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),2022-03-,개봉영화,장편,일본,121,,,,,애니메이션,12세이상관람가,독립/예술영화
19,벨파스트,케네스 브래너,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-03-,개봉영화,장편,미국,272,,,,,드라마,12세이상관람가,일반영화
20,메리 미,캣 코이로,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-03-,개봉영화,장편,미국,179,,,,,멜로/로맨스,12세이상관람가,일반영화
21,극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,,,"(주)얼리버드픽쳐스,와이드 릴리즈(주)",와이드 릴리즈(주),2022-02-,개봉영화,장편,영국,236,,,,,애니메이션,전체관람가,일반영화
22,우리가 사랑이라고 믿는 것,윌리엄 니콜슨,,(주)티캐스트,(주)티캐스트,2022-02-,개봉영화,장편,영국,44,,,,,드라마,12세이상관람가,독립/예술영화
23,드라이브 마이 카,하마구치 류스케,,"(주)영화사조아,(주)트리플픽쳐스",(주)트리플픽쳐스,2021-12-,개봉영화,장편,일본,69,,,,,드라마,15세이상관람가,독립/예술영화
24,킹 리차드,레이날도 마르쿠스 그린,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-03-,개봉영화,장편,미국,156,,,,,가족,12세이상관람가,일반영화
25,씽2게더,가스 제닝스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-01-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
26,에펠,마르탱 부르불롱,,(주)영화사메이플러스,"주식회사 블루필름웍스,(주)플레이그램",2022-03-,개봉영화,장편,프랑스,182,,,,,멜로/로맨스,15세이상관람가,독립/예술영화
27,레벤느망,오드리 디완,,주식회사 왓챠,"(주)영화특별시에스엠씨,주식회사 왓챠",2022-03-,개봉영화,장편,프랑스,64,,,,,드라마,15세이상관람가,독립/예술영화
28,극장판 안녕 자두야: 제주도의 비밀,손석우,아툰즈,,(주)씨제이이엔엠,2022-01-,개봉영화,장편,한국,618,,,,851,애니메이션,전체관람가,일반영화
29,뱅드림! 팝핀' 드림!,카키모토 코다이,,(주)애니플러스,(주)애니플러스,2022-03-,개봉영화,장편,일본,105,,,,,애니메이션,전체관람가,일반영화
30,도어맨,기타무라 류헤이,,(주)블루라벨픽쳐스,(주)블루라벨픽쳐스,2022-03-,개봉영화,장편,미국,130,,,,,액션,15세이상관람가,일반영화
31,고양이들의 아파트,정재은,영화사 못,,"(주)엣나인필름,(주)메타플레이",2022-03-,개봉영화,장편,한국,75,,,,,다큐멘터리,전체관람가,독립/예술영화
32,나일 강의 죽음,케네스 브래너,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-02-,개봉영화,장편,미국,,,,,,범죄,12세이상관람가,일반영화
33,시라노,조 라이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-02-,개봉영화,장편,미국,195,,,,,멜로/로맨스,12세이상관람가,일반영화
34,만년이 지나도 변하지 않는 게 있어,구파도,,(주)영화사벌집,"그린나래미디어(주),(주)영화사벌집",2022-02-,개봉영화,장편,대만,297,,,,,멜로/로맨스,12세이상관람가,독립/예술영화
35,리디밍 러브,D.J. 카루소,,"주식회사 풍경소리,(주)타임앤드스페이스",(주)까멜리아이엔티,2022-03-,개봉영화,장편,미국,118,,,,,멜로/로맨스,15세이상관람가,일반영화
