NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,공조2: 인터내셔날,이석훈,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2022-09-,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
2,인생은 아름다워,최국희,더램프(주),,롯데컬처웍스(주)롯데엔터테인먼트,2022-09-,개봉영화,장편,한국,,,,,,뮤지컬,12세이상관람가,일반영화
3,정직한 후보2,장유정,"(주)수필름,(주)홍필름",,(주)넥스트엔터테인먼트월드(NEW),2022-09-,개봉영화,장편,한국,,,,,,코미디,12세이상관람가,일반영화
4,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,타카하시 와타루,,(주)씨제이이엔엠,(주)씨제이이엔엠,2022-09-,개봉영화,장편,일본,873,,,,,애니메이션,전체관람가,일반영화
5,블랙 아담,자움 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-10-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
6,자백,윤종석,리얼라이즈픽쳐스(주),,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
7,리멤버,이일형,(주)영화사 월광,,(주)에이스메이커무비웍스,2022-10-,개봉영화,장편,한국,,,,,,드라마,15세이상관람가,일반영화
8,극장판 헬로카봇: 수상한 마술단의 비밀,"최신규,이슬기,정승원","(주)초이락컨텐츠컴퍼니,스튜디오더블유바바(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2022-09-,개봉영화,장편,한국,790,,,,,애니메이션,전체관람가,일반영화
9,에브리씽 에브리웨어 올 앳 원스,"다니엘 콴,다니엘 쉐이너트",,(주)더쿱디스트리뷰션,워터홀컴퍼니(주),2022-10-,개봉영화,장편,미국,620,,,,,액션,15세이상관람가,독립/예술영화
10,오펀: 천사의 탄생,윌리엄 브렌트 벨,,(주)퍼스트런,메가박스중앙(주),2022-10-,개봉영화,장편,미국,707,,,,,공포(호러),15세이상관람가,일반영화
11,스마일,파커 핀,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-,개봉영화,장편,미국,455,,,,,미스터리,청소년관람불가,일반영화
12,아바타 리마스터링,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-09-,개봉영화,장편,미국,285,,,,,SF,12세이상관람가,일반영화
13,대무가,이한종,(주)쿠키픽쳐스,,"판씨네마(주),(주)케이티알파",2022-10-,개봉영화,장편,한국,587,,,,,드라마,15세이상관람가,독립/예술영화
