NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
"1","범죄도시4","허명행","주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트","20240424","개봉영화","장편","한국","2,980","59,331,646,657","6,174,857","12,260,915,195","1,239,218","액션","15세이상관람가","일반영화"
"2","혹성탈출: 새로운 시대","웨스 볼",,"월트디즈니컴퍼니코리아 유한책임회사","월트디즈니컴퍼니코리아 유한책임회사","20240508","개봉영화","장편","미국","1,184","8,983,534,876","887,475","2,253,457,748","208,724","액션","12세이상관람가","일반영화"
"3","그녀가 죽었다","김세휘","엔진 필름",,"(주)콘텐츠지오,(주)아티스트스튜디오,(주)무빙픽쳐스컴퍼니","20240515","개봉영화","장편","한국","1,008","7,991,507,015","837,143","1,970,264,024","200,504","미스터리","15세이상관람가","일반영화"
"4","퓨리오사: 매드맥스 사가","조지 밀러",,"워너브러더스 코리아(주)","워너브러더스 코리아(주)","20240522","개봉영화","장편","미국","1,442","8,434,076,080","812,317","2,930,736,358","261,493","액션","15세이상관람가","일반영화"
"5","극장판 하이큐!! 쓰레기장의 결전","미츠나카 스스무",,"에스엠지홀딩스 주식회사","(주)넥스트엔터테인먼트월드(NEW),씨제이 씨지브이(CJ CGV)(주)","20240515","개봉영화","장편","일본","1,212","5,529,154,607","536,130","1,587,324,548","145,800","애니메이션","전체관람가","일반영화"
"6","쿵푸팬더4","마이크 미첼,스테파니 스티네",,"유니버설픽쳐스인터내셔널 코리아(유)","유니버설픽쳐스인터내셔널 코리아(유)","20240410","개봉영화","장편","미국","2,311","3,403,331,100","366,242","725,534,396","74,640","애니메이션","전체관람가","일반영화"
"7","가필드 더 무비","마크 딘달",,,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점","20240515","개봉영화","장편","미국","873","2,367,956,684","260,691","550,841,078","58,454","애니메이션","전체관람가","일반영화"
"8","설계자","이요섭","영화사 집",,"(주)넥스트엔터테인먼트월드(NEW)","20240529","개봉영화","장편","한국","1,345","1,886,744,578","225,344","468,227,093","54,164","범죄","15세이상관람가","일반영화"
"9","스턴트맨","데이빗 레이치",,"유니버설픽쳐스인터내셔널 코리아(유)","유니버설픽쳐스인터내셔널 코리아(유)","20240501","개봉영화","장편","미국","801","1,877,020,062","181,091","732,343,891","66,632","액션","15세이상관람가","일반영화"
"10","포켓몬스터: 성도지방 이야기, 최종장","유야마 쿠니히코",,"(주)포켓몬코리아","롯데컬처웍스(주)롯데엔터테인먼트","20240501","개봉영화","장편","일본","710","1,382,606,357","156,983","254,082,536","27,698","애니메이션","전체관람가","일반영화"
