NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
117,아파치 정션 : 무법자의 지대,저스틴 리,,,주식회사 모쿠슈라픽쳐스,2022-04-,개봉영화,장편,미국,14,,86,,44,서부극(웨스턴),15세이상관람가,일반영화
118,극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,,,"(주)얼리버드픽쳐스,와이드 릴리즈(주)",와이드 릴리즈(주),2022-02-,개봉영화,장편,영국,236,,81,,81,애니메이션,전체관람가,일반영화
119,FBI 데스트랩,,,,(유)조이앤시네마,2022-03-,개봉영화,장편,미국,50,,76,0,0,스릴러,15세이상관람가,일반영화
120,그 남자는 타이타닉을 보고 싶지 않았다,,,주식회사 슈아픽처스,주식회사 슈아픽처스,2022-03-,개봉영화,장편,핀란드,43,,73,,26,드라마,12세이상관람가,독립/예술영화
121,애니멀 체인지,정량,,(주)히스토리필름,와이드 릴리즈(주),2022-02-,개봉영화,장편,중국,155,,70,0,0,애니메이션,전체관람가,일반영화
122,곡녀,정인철,대성필름,,시네마 뉴원,2022-03-,개봉영화,장편,한국,7,,69,,20,드라마,12세이상관람가,독립/예술영화
123,소피의 세계,이제한,마름모필름,,찬란,2022-03-,개봉영화,장편,한국,84,,69,,15,드라마,12세이상관람가,독립/예술영화
124,너에게 가는 길,변규리,성소수문화환경을 위한 모임 '연분홍치마',,(주)엣나인필름,2021-11-,개봉영화,장편,한국,56,,68,,68,다큐멘터리,12세이상관람가,독립/예술영화
125,아망떼,니콜 가르시아,,(주)블루라벨픽쳐스,(주)블루라벨픽쳐스,2022-03-,개봉영화,장편,프랑스,21,,62,,6,멜로/로맨스,15세이상관람가,독립/예술영화
126,금의위 3인의 무사 2,,,,(유)조이앤시네마,2022-04-,개봉영화,장편,중국,5,,51,,20,액션,15세이상관람가,독립/예술영화
127,테이블 매너,박장운,영화사 새삶,,주식회사 씨엠닉스,2022-03-,개봉영화,장편,한국,4,,51,0,0,드라마,15세이상관람가,독립/예술영화
128,해피 아워,하마구치 류스케,,"(주)영화사조아,(주)트리플픽쳐스",(주)트리플픽쳐스,2021-12-,개봉영화,장편,일본,15,,43,,43,드라마,15세이상관람가,독립/예술영화
129,이스케이프 런,파렌 블랙번,,(유)조이앤시네마,(유)조이앤시네마,2022-04-,개봉영화,장편,프랑스,5,,42,,20,드라마,15세이상관람가,독립/예술영화
130,캐슬 폴스: 머니 게임,돌프 룬드그렌,,(주)엔케이컨텐츠,(주)디스테이션,2022-03-,개봉영화,장편,미국,34,,41,0,0,액션,15세이상관람가,일반영화
131,3.5교시,유희정,(주)써니엔터테인먼트,,(주)드림팩트엔터테인먼트,2022-04-,개봉영화,장편,한국,6,,41,,8,미스터리,12세이상관람가,독립/예술영화
132,마지막 대전투: 전장의 영웅들,아리 톱,,,(유)조이앤시네마,2022-03-,개봉영화,장편,미국,50,,37,0,0,전쟁,15세이상관람가,일반영화
133,보드랍게,박문칠,(사)정신대할머니와함께하는시민모임,,(주)인디플러그,2022-02-,개봉영화,장편,한국,20,,34,,14,다큐멘터리,전체관람가,독립/예술영화
134,임신한 나무와 도깨비,"김동령,박경태","(주)시네마달,웃음과바늘 필름&아카이브",,(주)시네마달,2022-01-,개봉영화,장편,한국,20,,32,,32,드라마,15세이상관람가,독립/예술영화
135,축복의 집,박희권,(주)고앤고필름,,필름다빈,2022-02-,개봉영화,장편,한국,17,,26,,25,가족,12세이상관람가,독립/예술영화
159,피그,,,판씨네마(주),판씨네마(주),2022-02-,개봉영화,장편,미국,113,,19,,1,드라마,12세이상관람가,독립/예술영화
161,매미소리,이충렬,주식회사 자유로픽쳐스,,(주)드림팩트엔터테인먼트,2022-02-,개봉영화,장편,한국,70,,16,0,0,드라마,15세이상관람가,독립/예술영화
162,웨스트 사이드 스토리,스티븐 스필버그,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-01-,개봉영화,장편,미국,754,,16,0,0,드라마,12세이상관람가,일반영화
163,당신얼굴 앞에서,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2021-10-,개봉영화,장편,한국,69,,8,,8,드라마,15세이상관람가,독립/예술영화
166,"틱, 틱... 붐!",린-마누엘 미란다,,,씨제이 씨지브이(CJ CGV)(주),2021-11-,개봉영화,장편,미국,108,,5,,5,드라마,12세이상관람가,일반영화
167,역으로 가는 길을 알려줘,,,(주)영화사 진진,(주)영화사 진진,2022-02-,개봉영화,장편,일본,25,,2,0,0,드라마,전체관람가,독립/예술영화
168,온 세상이 하얗다,김지석,(주)소셜프로덕션,,(주)트리플픽쳐스,2022-02-,개봉영화,장편,한국,18,,2,0,0,멜로/로맨스,15세이상관람가,독립/예술영화
171,그것은 물 밑에서 온다,데일 파브리가,,,(주)씨네마블랙,2022-04-,개봉영화,장편,미국,1,,1,0,0,공포(호러),15세이상관람가,독립/예술영화
175,돈 룩 업,아담 맥케이,,,씨제이 씨지브이(CJ CGV)(주),2021-12-,개봉영화,장편,미국,656,,1,,1,코미디,15세이상관람가,일반영화
203,시크릿 카운터,,,(주)디오시네마,(주)디오시네마,2022-02-,개봉영화,장편,일본,25,,1,0,0,기타,15세이상관람가,독립/예술영화
206,아이 스틸 빌리브,"앤드류 어윈,존 어윈",,(주)올스타엔터테인먼트,(주)이놀미디어,2022-01-,개봉영화,장편,미국,33,,1,,1,드라마,전체관람가,독립/예술영화
219,전투왕,이상호,(주)씨네포트,,"(주)씨네포트,주식회사 블루필름웍스",2022-02-,개봉영화,장편,한국,41,,1,0,0,다큐멘터리,12세이상관람가,독립/예술영화
223,죽음의 땅,,,,(주)라온컴퍼니플러스,2022-04-,개봉영화,장편,미국,1,,1,0,0,스릴러,15세이상관람가,일반영화
231,크리처 인 더 다크,,,,(주)라온컴퍼니플러스,2022-04-,개봉영화,장편,미국,1,,1,0,0,공포(호러),12세이상관람가,일반영화
