NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,스파이더맨: 노 웨이 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
2,씽2게더,가스 제닝스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-01-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
3,경관의 피,이규만,리양필름(주),,(주)에이스메이커무비웍스,2022-01-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
4,해적: 도깨비 깃발,김정훈,"(주)어뉴,오스카10스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2022-01-,개봉영화,장편,한국,,,,,,어드벤처,12세이상관람가,일반영화
5,특송,박대민,(주)엠픽처스,,(주)넥스트엔터테인먼트월드(NEW),2022-01-,개봉영화,장편,한국,996,,,,,범죄,15세이상관람가,일반영화
6,킹스맨: 퍼스트 에이전트,매튜 본,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-12-,개봉영화,장편,미국,,,,,,액션,청소년관람불가,일반영화
7,킹메이커,변성현,(주)씨앗필름,,메가박스중앙(주)플러스엠,2022-01-,개봉영화,장편,한국,,,,,,드라마,15세이상관람가,일반영화
8,하우스 오브 구찌,리들리 스콧,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-01-,개봉영화,장편,미국,734,,,,,범죄,15세이상관람가,일반영화
9,해피 뉴 이어,곽재용,(주)하이브미디어코프,,"(주)씨제이이엔엠,주식회사 티빙",2021-12-,개봉영화,장편,한국,832,,,,,멜로/로맨스,12세이상관람가,일반영화
10,웨스트 사이드 스토리,스티븐 스필버그,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-01-,개봉영화,장편,미국,754,,,,,드라마,12세이상관람가,일반영화
11,극장판 안녕 자두야: 제주도의 비밀,손석우,아툰즈,,(주)씨제이이엔엠,2022-01-,개봉영화,장편,한국,618,,,,,애니메이션,전체관람가,일반영화
12,드라이브 마이 카,하마구치 류스케,,"(주)영화사조아,(주)트리플픽쳐스",(주)트리플픽쳐스,2021-12-,개봉영화,장편,일본,69,,,,,드라마,15세이상관람가,독립/예술영화
13,클리포드 더 빅 레드 독,월트 벡커,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-01-,개봉영화,장편,미국,356,,,,,어드벤처,전체관람가,일반영화
14,레지던트 이블: 라쿤시티,요하네스 로버츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-01-,개봉영화,장편,미국,276,,,,,액션,청소년관람불가,일반영화
15,비욘드라이브 더 무비 : 엔시티 레조넌스,,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),2022-01-,개봉영화,장편,한국,34,,,,,공연,전체관람가,일반영화
16,어나더 라운드,토마스 빈터베르그,,(주)엣나인필름,(주)엣나인필름,2022-01-,개봉영화,장편,기타,175,,,,,코미디,15세이상관람가,독립/예술영화
17,매트릭스: 리저렉션,라나 워쇼스키,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-12-,개봉영화,장편,미국,970,,,,,액션,15세이상관람가,일반영화
18,청춘적니,샤모,,주식회사 모쿠슈라픽쳐스,(주)다자인소프트,2022-01-,개봉영화,장편,중국,112,,,,,멜로/로맨스,12세이상관람가,독립/예술영화
19,도쿄 리벤저스,하나부사 츠토무,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),2022-01-,개봉영화,장편,일본,216,,,,,드라마,15세이상관람가,일반영화
20,엔칸토: 마법의 세계,"바이론 하워드,자레드 부시,채리스 카스트로 스미스",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-11-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
21,장민호 드라마 최종회,,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2022-01-,개봉영화,장편,한국,81,,,,,공연,전체관람가,일반영화
22,신데렐라 2: 마법에 걸린 왕자,앨리스 블레하트,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2021-12-,개봉영화,장편,미국,355,,,,,애니메이션,전체관람가,일반영화
23,프랑스,브루노 뒤몽,,M&M 인터내셔널,M&M 인터내셔널,2022-01-,개봉영화,장편,프랑스,54,,,,,드라마,12세이상관람가,독립/예술영화
24,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,카와노 아야코,,(주)애니플러스,(주)애니플러스,2021-12-,개봉영화,장편,일본,110,,,,,애니메이션,12세이상관람가,일반영화
25,램,발디마르 요한손,,오드,오드,2021-12-,개봉영화,장편,기타,123,,,,,공포(호러),15세이상관람가,독립/예술영화
26,프리! 더 파이널 스트로크 전편,카와나미 에이사쿠,,(주)애니플러스,(주)애니플러스,2022-01-,개봉영화,장편,일본,77,,,,,애니메이션,전체관람가,일반영화
27,유체이탈자,윤재근,"(주)비에이엔터테인먼트,(주)사람엔터테인먼트",,"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠",2021-11-,개봉영화,장편,한국,,,,,,판타지,15세이상관람가,일반영화
28,걸즈 앤 판처 최종장 제3화,미즈시마 츠토무,,(주)엔케이컨텐츠,(주)디스테이션,2022-01-,개봉영화,장편,일본,43,,,,,애니메이션,12세이상관람가,일반영화
29,미싱타는 여자들,"이혁래,김정영",플라잉타이거픽처스,,(주)영화사 진진,2022-01-,개봉영화,장편,한국,39,,,,,다큐멘터리,전체관람가,독립/예술영화
30,인어가 잠든 집,츠츠미 유키히코,,(주)콘텐츠패밀리,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",2022-01-,개봉영화,장편,일본,90,,,,,드라마,12세이상관람가,독립/예술영화
