NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,범죄도시3,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",20230531,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
2,엘리멘탈,피터 손,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230614,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
3,트랜스포머: 비스트의 서막,스티븐 카플 주니어,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20230606,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
4,플래시,안드레스 무시에티,,워너브러더스 코리아(주),워너브러더스 코리아(주),20230614,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
5,스파이더맨: 어크로스 더 유니버스,호아킴 도스 산토스,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20230621,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
6,귀공자,박훈정,"(주)영화사 금월,(주)스튜디오앤뉴",,(주)넥스트엔터테인먼트월드(NEW),20230621,개봉영화,장편,한국,966,,,,,액션,청소년관람불가,일반영화
7,가디언즈 오브 갤럭시: Volume 3,제임스 건,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230503,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
8,인디아나 존스: 운명의 다이얼,제임스 맨골드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230628,개봉영화,장편,미국,,,,,,어드벤처,12세이상관람가,일반영화
9,인어공주,롭 마샬,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230524,개봉영화,장편,미국,,,,,,뮤지컬,전체관람가,일반영화
10,분노의 질주: 라이드 오어 다이,루이스 리테리어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230517,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
11,남은 인생 10년,후지이 미치히토,,(주)엔케이컨텐츠,(주)디스테이션,20230524,개봉영화,장편,일본,203,,,,,멜로/로맨스,12세이상관람가,독립/예술영화
12,슈퍼 마리오 브라더스,,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230426,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
13,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,,,(주)씨제이이엔엠,(주)씨제이이엔엠,20230623,개봉영화,장편,일본,176,,,,,애니메이션,12세이상관람가,일반영화
14,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,하시모토 마사카즈,,(주)씨제이이엔엠,(주)씨제이이엔엠,20230504,개봉영화,장편,일본,844,,,,,애니메이션,전체관람가,일반영화
15,스즈메의 문단속,신카이 마코토,,(주)미디어캐슬,(주)쇼박스,20230308,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,독립/예술영화
16,"2022 영탁 단독 콘서트 ""탁쇼""",송승연,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),20230628,개봉영화,장편,한국,72,,,,,공연,전체관람가,일반영화
17,수라,황윤,"스튜디오두마,미디어나무(주)",,"스튜디오두마,미디어나무(주),스튜디오 에이드",20230621,개봉영화,장편,한국,136,,,,,다큐멘터리,전체관람가,독립/예술영화
18,애스터로이드 시티,웨스 앤더슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230628,개봉영화,장편,미국,269,,,,,드라마,12세이상관람가,일반영화
19,더 퍼스트 슬램덩크,이노우에 다케히코,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),20230104,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,일반영화
