NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,베놈 2: 렛 데어 비 카니지,앤디 서키스,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-10-,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
2,007 노 타임 투 다이,캐리 후쿠나가,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-09-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
3,듄,드니 빌뇌브,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-10-,개봉영화,장편,미국,,,,,,SF,12세이상관람가,일반영화
4,보이스,"김선,김곡",(주)수필름,,(주)씨제이이엔엠,2021-09-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
5,기적,이장훈,(주)블러썸픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2021-09-,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
6,고장난 론,"사라 스미스,장 필립 바인,옥타비오 E. 로드리게즈",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-10-,개봉영화,장편,미국,904,,,,,애니메이션,전체관람가,일반영화
7,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,쿄고쿠 타카히코,,(주)씨제이이엔엠,(주)씨제이이엔엠,2021-09-,개봉영화,장편,일본,593,,,,,애니메이션,전체관람가,일반영화
8,용과 주근깨 공주,호소다 마모루,,"(주)얼리버드픽쳐스,와이드 릴리즈(주)",와이드 릴리즈(주),2021-09-,개봉영화,장편,일본,216,,,,,애니메이션,전체관람가,일반영화
9,샹치와 텐 링즈의 전설,데스틴 다니엘 크리튼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-09-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
10,라스트 듀얼: 최후의 결투,리들리 스콧,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-10-,개봉영화,장편,미국,367,,,,,액션,청소년관람불가,일반영화
