NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,해적: 도깨비 깃발,김정훈,"(주)어뉴,오스카10스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2022-01-,개봉영화,장편,한국,,,,,,어드벤처,12세이상관람가,일반영화
2,언차티드,루벤 플레셔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-02-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
3,킹메이커,변성현,(주)씨앗필름,,메가박스중앙(주)플러스엠,2022-01-,개봉영화,장편,한국,,,,,,드라마,15세이상관람가,일반영화
4,극장판 주술회전 0,박성후,,대원미디어(주),(주)대교 미디어콘텐츠사업본부,2022-02-,개봉영화,장편,일본,836,,,,,애니메이션,15세이상관람가,일반영화
5,나일 강의 죽음,케네스 브래너,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-02-,개봉영화,장편,미국,,,,,,범죄,12세이상관람가,일반영화
6,스파이더맨: 노 웨이 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
7,씽2게더,가스 제닝스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-01-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
8,극장판 안녕 자두야: 제주도의 비밀,손석우,아툰즈,,(주)씨제이이엔엠,2022-01-,개봉영화,장편,한국,618,,,,,애니메이션,전체관람가,일반영화
9,안테벨룸,"제라드 부시,크리스토퍼 렌즈",,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,2022-02-,개봉영화,장편,미국,638,,,,,미스터리,15세이상관람가,독립/예술영화
10,인민을 위해 복무하라,장철수,"주식회사 표범영화사,(유)조이앤시네마",,(주)제이앤씨미디어그룹,2022-02-,개봉영화,장편,한국,598,,,,,멜로/로맨스,청소년관람불가,일반영화
11,355,사이먼 킨버그,,(유)조이앤시네마,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022-02-,개봉영화,장편,미국,540,,,,,액션,15세이상관람가,일반영화
12,나의 촛불,"김의성,주진우",주기자 유한회사,,트윈플러스파트너스(주),2022-02-,개봉영화,장편,한국,294,,,,,다큐멘터리,전체관람가,독립/예술영화
13,나이트메어 앨리,기예르모 델 토로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-02-,개봉영화,장편,미국,461,,,,,범죄,15세이상관람가,일반영화
14,하우스 오브 구찌,리들리 스콧,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-01-,개봉영화,장편,미국,734,,,,,범죄,15세이상관람가,일반영화
15,극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,,,"(주)얼리버드픽쳐스,와이드 릴리즈(주)",와이드 릴리즈(주),2022-02-,개봉영화,장편,영국,236,,,,,애니메이션,전체관람가,일반영화
16,만년이 지나도 변하지 않는 게 있어,구파도,,(주)영화사벌집,"그린나래미디어(주),(주)영화사벌집",2022-02-,개봉영화,장편,대만,297,,,,,멜로/로맨스,12세이상관람가,독립/예술영화
17,시라노,조 라이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-02-,개봉영화,장편,미국,195,,,,,멜로/로맨스,12세이상관람가,일반영화
18,리코리쉬 피자,폴 토마스 앤더슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-02-,개봉영화,장편,미국,222,,,,,멜로/로맨스,15세이상관람가,일반영화
19,특송,박대민,(주)엠픽처스,,(주)넥스트엔터테인먼트월드(NEW),2022-01-,개봉영화,장편,한국,996,,,,,범죄,15세이상관람가,일반영화
20,드라이브 마이 카,하마구치 류스케,,"(주)영화사조아,(주)트리플픽쳐스",(주)트리플픽쳐스,2021-12-,개봉영화,장편,일본,69,,,,,드라마,15세이상관람가,독립/예술영화
21,어나더 라운드,토마스 빈터베르그,,(주)엣나인필름,(주)엣나인필름,2022-01-,개봉영화,장편,기타,175,,,,,코미디,15세이상관람가,독립/예술영화
22,킹스맨: 퍼스트 에이전트,매튜 본,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-12-,개봉영화,장편,미국,,,,,,액션,청소년관람불가,일반영화
23,웨스트 사이드 스토리,스티븐 스필버그,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-01-,개봉영화,장편,미국,754,,,,,드라마,12세이상관람가,일반영화
24,경관의 피,이규만,리양필름(주),,(주)에이스메이커무비웍스,2022-01-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
25,피그,,,판씨네마(주),판씨네마(주),2022-02-,개봉영화,장편,미국,113,,,,,드라마,12세이상관람가,독립/예술영화
26,프리! 더 파이널 스트로크 전편,카와나미 에이사쿠,,(주)애니플러스,(주)애니플러스,2022-01-,개봉영화,장편,일본,77,,,,,애니메이션,전체관람가,일반영화
27,굿 보스,페르난도 레온 데 아라노아,,(주)엔케이컨텐츠,(주)디스테이션,2022-02-,개봉영화,장편,스페인,85,,,,,드라마,15세이상관람가,독립/예술영화
28,해피 뉴 이어,곽재용,(주)하이브미디어코프,,"(주)씨제이이엔엠,주식회사 티빙",2021-12-,개봉영화,장편,한국,832,,,,,멜로/로맨스,12세이상관람가,일반영화
29,전투왕,이상호,(주)씨네포트,,"(주)씨네포트,주식회사 블루필름웍스",2022-02-,개봉영화,장편,한국,41,,,,,다큐멘터리,12세이상관람가,독립/예술영화
30,광대: 소리꾼,조정래,주식회사 제이오엔터테인먼트코리아,,트윈플러스파트너스(주),2022-02-,개봉영화,장편,한국,116,,,,,사극,12세이상관람가,일반영화
31,애니멀 체인지,정량,,(주)히스토리필름,와이드 릴리즈(주),2022-02-,개봉영화,장편,중국,155,,,,536,애니메이션,전체관람가,일반영화
32,매트릭스: 리저렉션,라나 워쇼스키,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-12-,개봉영화,장편,미국,970,,,,,액션,15세이상관람가,일반영화
33,매미소리,이충렬,주식회사 자유로픽쳐스,,(주)드림팩트엔터테인먼트,2022-02-,개봉영화,장편,한국,70,,,,,드라마,15세이상관람가,독립/예술영화
34,우리가 사랑이라고 믿는 것,윌리엄 니콜슨,,(주)티캐스트,(주)티캐스트,2022-02-,개봉영화,장편,영국,44,,,,,드라마,12세이상관람가,독립/예술영화
35,미싱타는 여자들,"이혁래,김정영",플라잉타이거픽처스,,(주)영화사 진진,2022-01-,개봉영화,장편,한국,39,,,,,다큐멘터리,전체관람가,독립/예술영화
36,인어가 잠든 집,츠츠미 유키히코,,(주)콘텐츠패밀리,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",2022-01-,개봉영화,장편,일본,90,,,,,드라마,12세이상관람가,독립/예술영화
37,리프레쉬,김길영,㈜케이엠글로벌미디어,,(주)이놀미디어,2022-02-,개봉영화,장편,한국,44,,,,,드라마,12세이상관람가,독립/예술영화
38,비틀즈 겟 백: 루프탑 콘서트,피터 잭슨,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-02-,개봉영화,장편,미국,15,,,,,다큐멘터리,12세이상관람가,일반영화
39,극장판 천재 추리 탐정 셜록홈즈,,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2022-01-,개봉영화,장편,홍콩,134,,,,576,애니메이션,전체관람가,일반영화
40,원 세컨드,장예모,,찬란,찬란,2022-01-,개봉영화,장편,중국,42,,,,,드라마,12세이상관람가,독립/예술영화
41,라스트 나잇 인 소호,에드가 라이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-12-,개봉영화,장편,미국,511,,,,,공포(호러),청소년관람불가,일반영화
42,레지던트 이블: 라쿤시티,요하네스 로버츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-01-,개봉영화,장편,미국,276,,,,,액션,청소년관람불가,일반영화
43,역으로 가는 길을 알려줘,,,(주)영화사 진진,(주)영화사 진진,2022-02-,개봉영화,장편,일본,25,,,,,드라마,전체관람가,독립/예술영화
44,가슴이 떨리는 건 너 때문,,,(주)블루라벨픽쳐스,(주)블루라벨픽쳐스,2022-02-,개봉영화,장편,일본,53,,,,990,멜로/로맨스,12세이상관람가,독립/예술영화
