NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,아바타: 물의 길,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20221214,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
2,더 퍼스트 슬램덩크,이노우에 다케히코,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),20230104,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,일반영화
3,영웅,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,20221221,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
4,교섭,임순례,"(주)영화사수박,원테이크필름",,플러스엠 엔터테인먼트,20230118,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
5,장화신은 고양이: 끝내주는 모험,조엘 크로포드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230104,개봉영화,장편,미국,924,,,,,애니메이션,전체관람가,일반영화
6,유령,이해영,더램프(주),,(주)씨제이이엔엠,20230118,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
7,스위치,마대윤,(주)하이브미디어코프,,롯데컬처웍스(주)롯데엔터테인먼트,20230104,개봉영화,장편,한국,912,,,,,기타,12세이상관람가,일반영화
8,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",미키 타카히로,,(주)미디어캐슬,"(주)바이포엠스튜디오,홀리가든",20221130,개봉영화,장편,일본,258,,,,,멜로/로맨스,12세이상관람가,독립/예술영화
9,상견니,황천인,,오드,"오드,리바이브콘텐츠 주식회사,씨제이 씨지브이(CJ CGV)(주)",20230125,개봉영화,장편,대만,698,,,,,드라마,15세이상관람가,일반영화
10,메간,제라드 존스톤,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230125,개봉영화,장편,미국,704,,,,,공포(호러),15세이상관람가,일반영화
11,올빼미,안태진,"(주)씨제스엔터테인먼트,(주)영화사 담담",,(주)넥스트엔터테인먼트월드(NEW),20221123,개봉영화,장편,한국,,,,,,스릴러,15세이상관람가,일반영화
12,캐리와 슈퍼콜라,"오성윤,이춘백",(주)캐리소프트,,롯데컬처웍스(주)롯데엔터테인먼트,20230118,개봉영화,장편,한국,474,,,,,애니메이션,전체관람가,일반영화
13,신비아파트 극장판 차원도깨비와 7개의 세계,변영규,(주)씨제이이엔엠,,(주)씨제이이엔엠,20221214,개봉영화,장편,한국,665,,,,,애니메이션,전체관람가,일반영화
14,젠틀맨,김경원,"(주)트릭스터,주식회사 에이치앤드엔터테인먼트",,플러스엠 엔터테인먼트,20221228,개봉영화,장편,한국,751,,,,,범죄,15세이상관람가,일반영화
15,라일 라일 크로커다일,"조쉬 고든,윌 스펙",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20230118,개봉영화,장편,미국,384,,,,,가족,전체관람가,일반영화
