NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,서복,이용주,"(주)씨제이이엔엠,(주)티피에스컴퍼니",,(주)씨제이이엔엠,20210415,개봉영화,장편,한국,1382,3453714020,367563,943386710,100531,드라마,15세이상관람가,일반영화
2,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,,에스엠지홀딩스 주식회사,워터홀컴퍼니(주),20210127,개봉영화,장편,일본,380,3365763960,346575,778734340,78708,애니메이션,15세이상관람가,일반영화
3,고질라 VS. 콩,아담 윈가드,,워너브러더스 코리아(주),워너브러더스 코리아(주),20210325,개봉영화,장편,미국,1295,2953470400,299184,730691450,69506,액션,12세이상관람가,일반영화
4,자산어보,이준익,(주)씨네월드,,메가박스중앙(주)플러스엠,20210331,개봉영화,장편,한국,1250,2667741040,292050,799237640,86720,사극,12세이상관람가,일반영화
5,내일의 기억,서유민,"(주)아이필름코퍼레이션,(주)토리픽쳐스",,"(주)아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)(주)",20210421,개봉영화,장편,한국,957,1793427140,207232,457184150,54055,미스터리,15세이상관람가,일반영화
6,명탐정 코난: 비색의 탄환,나가오카 치카,,,(주)씨제이이엔엠,20210416,개봉영화,장편,일본,844,1449082690,153095,360210320,36921,애니메이션,12세이상관람가,일반영화
7,미나리,정이삭,,판씨네마(주),판씨네마(주),20210303,개봉영화,장편,미국,1162,1268385380,142400,486997970,53907,드라마,12세이상관람가,독립/예술영화
8,노바디,일리야 나이슐러,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20210407,개봉영화,장편,미국,505,1237641710,128963,391863730,40958,액션,15세이상관람가,일반영화
9,비와 당신의 이야기,조진모,(주)아지트필름,,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",20210428,개봉영화,장편,한국,956,687053550,83528,195085810,23481,드라마,전체관람가,일반영화
10,더 스파이,도미닉 쿡,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",20210428,개봉영화,장편,미국,710,506970290,62028,184759390,22164,스릴러,15세이상관람가,일반영화
11,노매드랜드,클로이 자오,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210415,개봉영화,장편,미국,181,384449080,41407,215368930,22931,드라마,12세이상관람가,일반영화
