NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,한산: 용의 출현,김한민,(주)빅스톤픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-,개봉영화,장편,한국,,,,,,액션,12세이상관람가,일반영화
2,헌트,이정재,"(주)아티스트스튜디오,(주)사나이픽처스",,메가박스중앙(주)플러스엠,2022-08-,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
3,비상선언,한재림,"(주)매그넘나인,(주)씨제스엔터테인먼트,씨네주 유한회사",,(주)쇼박스,2022-08-,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
4,탑건: 매버릭,조셉 코신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
5,미니언즈2,카일 발다,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-07-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
6,육사오(6/45),박규태,"(주)티피에스컴퍼니,(주)싸이더스",,"(주)홈초이스,(주)싸이더스",2022-08-,개봉영화,장편,한국,,,,,,코미디,12세이상관람가,일반영화
7,놉,조던 필,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-08-,개봉영화,장편,미국,,,,,,미스터리,12세이상관람가,일반영화
8,뽀로로 극장판 드래곤캐슬 대모험,"강승훈,윤제완",(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2022-07-,개봉영화,장편,한국,748,,,,,애니메이션,전체관람가,일반영화
9,DC 리그 오브 슈퍼-펫,"자레드 스턴,샘 레빈",,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-08-,개봉영화,장편,미국,585,,,,,애니메이션,전체관람가,일반영화
10,헤어질 결심,박찬욱,(주)모호필름,,(주)씨제이이엔엠,2022-06-,개봉영화,장편,한국,,,,,,미스터리,15세이상관람가,일반영화
11,외계+인 1부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,2022-07-,개봉영화,장편,한국,,,,,,액션,12세이상관람가,일반영화
12,불릿 트레인,데이빗 레이치,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-08-,개봉영화,장편,미국,904,,,,,액션,청소년관람불가,일반영화
13,바다 탐험대 옥토넛 : 탐험선 대작전,,,"(주)얼리버드픽쳐스,와이드 릴리즈(주)",와이드 릴리즈(주),2022-08-,개봉영화,장편,영국,241,,,,,애니메이션,전체관람가,독립/예술영화
14,명탐정 코난: 할로윈의 신부,미츠나카 스스무,,(주)씨제이이엔엠,(주)씨제이이엔엠,2022-07-,개봉영화,장편,일본,758,,,,,애니메이션,12세이상관람가,일반영화
15,극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,야마구치 스스무,,대원미디어(주),(주)스마일이엔티,2022-08-,개봉영화,장편,일본,389,,,,,애니메이션,전체관람가,일반영화
16,리미트,이승준,"(주)베러투모로우,나로픽처스(주),(유)조이앤시네마",,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2022-08-,개봉영화,장편,한국,687,,,,,범죄,15세이상관람가,일반영화
17,시맨틱 에러: 더 무비,김수정,주식회사 왓챠,,주식회사 왓챠,2022-08-,개봉영화,장편,한국,54,,,,,멜로/로맨스,12세이상관람가,일반영화
18,귀멸의 칼날: 아사쿠사 편,소토자키 하루오,,애니맥스 브로드캐스팅 코리아 유한회사,(주)박수엔터테인먼트,2022-08-,개봉영화,장편,일본,124,,,,,애니메이션,15세이상관람가,일반영화
19,극장판 살아남기 시리즈: 인체에서 살아남기,"나스카와 미츠루,이리요시 사토루",,에스엠지홀딩스 주식회사,(주)씨제이이엔엠,2022-08-,개봉영화,장편,일본,174,,,,,애니메이션,전체관람가,일반영화
20,사랑할 땐 누구나 최악이 된다,요아킴 트리에,,그린나래미디어(주),"그린나래미디어(주),(주)하이스트레인저",2022-08-,개봉영화,장편,노르웨이,68,,,,,멜로/로맨스,15세이상관람가,독립/예술영화
21,뿌까의 짜장면파티,박상용,(주)에픽캔,,(주)에픽캔,2022-07-,개봉영화,장편,한국,11,,,,,기타,전체관람가,일반영화
22,엘비스,바즈 루어만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-07-,개봉영화,장편,미국,665,,,,,드라마,15세이상관람가,일반영화
23,썸머 필름을 타고!,마츠모토 소우시,,(주)싸이더스,"(주)싸이더스,(주)블루라벨픽쳐스",2022-07-,개봉영화,장편,일본,65,,,,,기타,전체관람가,독립/예술영화
24,녹턴,정관조,미디어나무,,(주)시네마달,2022-08-,개봉영화,장편,한국,54,,,,,다큐멘터리,12세이상관람가,독립/예술영화
25,"굿 럭 투 유, 리오 그랜드",소피 하이드,,(주)퍼스트런,"㈜무비다이브,(주)퍼스트런",2022-08-,개봉영화,장편,영국,46,,,,,코미디,청소년관람불가,독립/예술영화
26,풀타임,,,주식회사 슈아픽처스,주식회사 슈아픽처스,2022-08-,개봉영화,장편,프랑스,59,,,,,드라마,전체관람가,독립/예술영화
27,체리마호: 30살까지 동정이면 마법사가 될 수 있대,카자마 히로키,,(주)미디어캐슬,(주)영화사 그램,2022-07-,개봉영화,장편,일본,56,,,,,판타지,12세이상관람가,일반영화
28,베르히만 아일랜드,미아 한센-로브,,찬란,찬란,2022-08-,개봉영화,장편,프랑스,45,,,,,드라마,15세이상관람가,독립/예술영화
29,토르: 러브 앤 썬더,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-07-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
30,멋진 세계,니시카와 미와,,(주)엣나인필름,(주)엣나인필름,2022-08-,개봉영화,장편,일본,47,,,,,드라마,15세이상관람가,독립/예술영화
31,뱅크시,엘리오 에스파나,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2022-08-,개봉영화,장편,영국,35,,,,,다큐멘터리,전체관람가,독립/예술영화
32,극장판 주술회전 0,박성후,,대원미디어(주),(주)대교 미디어콘텐츠사업본부,2022-02-,개봉영화,장편,일본,836,,,,,애니메이션,15세이상관람가,일반영화
33,파라다이스 하이웨이,안나 구또,,판씨네마(주),판씨네마(주),2022-08-,개봉영화,장편,미국,53,,,,,액션,15세이상관람가,독립/예술영화
34,코코순이,이석재,"KBS,커넥트픽쳐스(주)",,커넥트픽쳐스(주),2022-08-,개봉영화,장편,한국,50,,,,,다큐멘터리,전체관람가,독립/예술영화
35,보일링 포인트,필립 바랜티니,,(주)이놀미디어,(주)이놀미디어,2022-08-,개봉영화,장편,영국,41,,,,,스릴러,15세이상관람가,독립/예술영화
36,어웨이크,이윤호,주식회사 티에스나린시네마,,"주식회사 엔픽플,트윈플러스파트너스(주)",2022-08-,개봉영화,장편,한국,72,,,,,미스터리,15세이상관람가,독립/예술영화
37,파로호,임상수,한국영화아카데미,,(주)더쿱디스트리뷰션,2022-08-,개봉영화,장편,한국,51,,,,,스릴러,15세이상관람가,독립/예술영화
38,비욘드 라이브 더 무비: 엑소의 사다리 타고 세계여행3,최소망,(주)에스엠 컬처앤콘텐츠,,씨제이 씨지브이(CJ CGV)(주),2022-07-,개봉영화,장편,한국,18,,,,,코미디,전체관람가,일반영화
39,큐브,,,찬란,(주)디스테이션,2022-08-,개봉영화,장편,일본,51,,,,,스릴러,15세이상관람가,일반영화
40,프리! 더 파이널 스트로크 후편,카와나미 에이사쿠,,(주)애니플러스,(주)애니플러스,2022-06-,개봉영화,장편,일본,83,,,,,애니메이션,전체관람가,일반영화
41,마녀(魔女) Part2. The Other One,박훈정,"(주)영화사 금월,(주)스튜디오앤뉴,(주)페퍼민트앤컴퍼니",,(주)넥스트엔터테인먼트월드(NEW),2022-06-,개봉영화,장편,한국,,,,,192,액션,15세이상관람가,일반영화
42,큐어,구로사와 기요시,,M&M 인터내셔널,M&M 인터내셔널,2022-07-,개봉영화,장편,일본,55,,,,,공포(호러),15세이상관람가,독립/예술영화
43,범죄도시 2,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠",2022-05-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
44,기도의 숨결,"세실 베스노,이반 마사카",,(주)영화사 진진,(주)영화사 진진,2022-08-,개봉영화,장편,프랑스,14,,,,,다큐멘터리,전체관람가,독립/예술영화
45,썬다운,미셸 프랑코,,M&M 인터내셔널,M&M 인터내셔널,2022-08-,개봉영화,장편,프랑스,41,,,,,미스터리,15세이상관람가,독립/예술영화
46,로스트 도터,매기 질렌할,,그린나래미디어(주),"(주)영화특별시에스엠씨,그린나래미디어(주)",2022-07-,개봉영화,장편,미국,66,,,,,드라마,15세이상관람가,독립/예술영화
47,말아,곽민승,왓에버웍스,,㈜인디스토리,2022-08-,개봉영화,장편,한국,33,,,,,드라마,12세이상관람가,독립/예술영화
48,리볼버,가이 리치,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2022-08-,개봉영화,장편,영국,67,,,,748,범죄,15세이상관람가,독립/예술영화
49,임파서블 러브,까뜨린느 꼬르시니,,(주)달빛공장,(주)디오시네마,2022-07-,개봉영화,장편,프랑스,30,,,,816,드라마,청소년관람불가,독립/예술영화
50,배드 럭 뱅잉,라두 주데,,알토미디어(주),알토미디어(주),2022-07-,개봉영화,장편,루마니아,27,,,,577,드라마,청소년관람불가,독립/예술영화
51,초록밤,윤서진,디파이언트,,㈜인디스토리,2022-07-,개봉영화,장편,한국,31,,,,499,기타,15세이상관람가,독립/예술영화
52,노스맨,로버트 에거스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-08-,개봉영화,장편,미국,38,,,,713,드라마,청소년관람불가,일반영화
53,아라시 20주년 투어 콘서트 5✕20,츠츠미 유키히코,,찬란,찬란,2022-08-,개봉영화,장편,일본,18,,,,685,공연,전체관람가,일반영화
54,모퉁이,신선,,,(주)영화사 그램,2022-08-,개봉영화,장편,한국,20,,,,863,드라마,12세이상관람가,독립/예술영화
55,컴온 컴온,마이크 밀스,,찬란,(주)스튜디오디에이치엘,2022-06-,개봉영화,장편,미국,113,,,,562,드라마,12세이상관람가,독립/예술영화
56,투란도트 어둠의 왕국,김시우,(주)나인테일즈코리아,,주식회사 블루필름웍스,2022-08-,개봉영화,장편,한국,18,,966,,197,뮤지컬,12세이상관람가,일반영화
57,룸 쉐어링,이순성,주식회사 티에스나린시네마,,"주식회사 엔픽플,트윈플러스파트너스(주)",2022-06-,개봉영화,장편,한국,122,,885,,484,드라마,전체관람가,독립/예술영화
58,"아치의 노래, 정태춘",고영재,(주)인디플러그,,(주)넥스트엔터테인먼트월드(NEW),2022-05-,개봉영화,장편,한국,149,,850,,134,다큐멘터리,전체관람가,독립/예술영화
59,콘서트를 지켜라,"이미리,설민아",(주)캐리소프트,,롯데컬처웍스(주)롯데엔터테인먼트,2022-08-,개봉영화,장편,한국,19,,710,,460,공연,전체관람가,일반영화
60,애프터 양,코고나다,,주식회사 왓챠,"(주)영화특별시에스엠씨,주식회사 왓챠",2022-06-,개봉영화,장편,미국,161,,680,,560,드라마,전체관람가,독립/예술영화
61,히즈 아웃 데어,퀸 래셔,,(주)스튜디오디에이치엘,(주)스튜디오디에이치엘,2022-08-,개봉영화,장편,미국,20,,660,,200,공포(호러),15세이상관람가,일반영화
