NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,스즈메의 문단속,신카이 마코토,,(주)미디어캐슬,(주)쇼박스,20230308,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,독립/예술영화
2,존 윅 4,채드 스타헬스키,,"(주)제이앤씨미디어그룹,(유)조이앤시네마",(주)레드아이스 엔터테인먼트,20230412,개봉영화,장편,미국,,,,,,액션,청소년관람불가,일반영화
3,슈퍼 마리오 브라더스,,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230426,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
4,리바운드,장항준,"(주)비에이엔터테인먼트,워크하우스컴퍼니(주)",,(주)바른손이앤에이,20230405,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
5,드림,이병헌,(주)옥토버시네마,,플러스엠 엔터테인먼트,20230426,개봉영화,장편,한국,,,,,,코미디,12세이상관람가,일반영화
6,더 퍼스트 슬램덩크,이노우에 다케히코,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),20230104,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,일반영화
7,던전 앤 드래곤: 도적들의 명예,,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20230329,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
8,킬링 로맨스,이원석,"(주)영화사 이창,쇼트케이크(주)",,롯데컬처웍스(주)롯데엔터테인먼트,20230414,개봉영화,장편,한국,998,,,,,코미디,15세이상관람가,일반영화
9,옥수역귀신,정용기,(주)영화사조아,,(주)스마일이엔티,20230419,개봉영화,장편,한국,314,,,,,공포(호러),15세이상관람가,일반영화
10,에어,벤 애플렉,,워너브러더스 코리아(주),워너브러더스 코리아(주),20230405,개봉영화,장편,미국,656,,,,,드라마,15세이상관람가,일반영화
