영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,계절,장르2,등급_le,관람객수_le,계절_le,관객수_등급
"나의 끝, 당신의 시작",(주)마노엔터테인먼트,2021,11,16.0,3.0,드라마,15세이상관람가,5.75,5.67,5.71,3,2,1,2,2,1
가족의 색깔,(주)영화사 진진,2021,10,20.0,2.0,드라마,전체관람가,7.14,6.0,6.57,3,2,2,1,2,1
당신은 믿지 않겠지만,(주)디오시네마,2021,10,100.0,2.0,드라마,12세이상관람가,6.38,6.33,6.355,3,2,0,1,2,1
첫눈이 사라졌다,(주)다자인소프트,2021,10,66.0,2.0,판타지,15세이상관람가,7.22,6.67,6.945,3,10,1,1,2,1
아워 미드나잇,필름다빈,2021,11,50.0,1.0,드라마,12세이상관람가,8.5,6.075562130177515,7.287781065088757,3,2,0,0,2,1
유혹의 한계,(주)티앤엘엔터테인먼트,2022,1,1.0,1.0,스릴러,15세이상관람가,0.0,6.71,3.355,4,7,1,0,3,1
최선의 삶,(주)엣나인필름,2021,9,101.0,1.0,드라마,15세이상관람가,7.533771929824562,6.254455445544555,6.894113687684559,3,2,1,0,2,1
킬러 하이드,(주)씨네마블랙,2022,1,1.0,1.0,액션,15세이상관람가,0.0,5.9,2.95,4,1,1,0,3,1
파이널 싸움의 기술,(주)영화사 사계절,2022,1,1.0,1.0,액션,청소년관람불가,5.5,5.67,5.585,4,1,3,0,3,1
해적: 도깨비 깃발,롯데컬처웍스(주)롯데엔터테인먼트,2022,1,63.0,831.1818237304688,어드벤처,12세이상관람가,6.12,5.0,5.5600000000000005,4,15,0,758,3,3
언차티드,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022,2,63.0,67132.5703125,액션,12세이상관람가,7.04,6.75,6.895,4,1,0,1887,3,5
킹메이커,메가박스중앙(주)플러스엠,2022,1,63.0,16271.34375,드라마,15세이상관람가,8.07,6.0,7.035,4,2,1,1674,3,5
극장판 주술회전 0,(주)대교 미디어콘텐츠사업본부,2022,2,836.0,18093.880859375,애니메이션,15세이상관람가,8.91,5.67,7.29,4,0,1,1700,3,5
나일 강의 죽음,월트디즈니컴퍼니코리아 유한책임회사,2022,2,63.0,23501.927734375,범죄,12세이상관람가,7.11,7.0,7.055,4,4,0,1753,3,5
스파이더맨: 노 웨이 홈,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,12,63.0,36497.5859375,액션,12세이상관람가,9.09,5.67,7.38,4,1,0,1809,3,5
씽2게더,유니버설픽쳐스인터내셔널 코리아(유),2022,1,63.0,90301.8671875,애니메이션,전체관람가,8.8,4.0,6.4,4,0,2,1914,3,5
극장판 안녕 자두야: 제주도의 비밀,(주)씨제이이엔엠,2022,1,618.0,90301.8671875,애니메이션,전체관람가,8.13,6.0,7.065,4,0,2,1914,3,5
안테벨룸,(주)올스타엔터테인먼트,2022,2,638.0,851652.6875,미스터리,15세이상관람가,7.34,3.5,5.42,4,9,1,2072,3,5
인민을 위해 복무하라,(주)제이앤씨미디어그룹,2022,2,598.0,10121.7001953125,멜로/로맨스,청소년관람불가,5.35,4.33,4.84,4,3,3,1566,3,4
355,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022,2,540.0,67132.5703125,액션,15세이상관람가,6.09,6.5,6.295,4,1,1,1887,3,5
나의 촛불,트윈플러스파트너스(주),2022,2,294.0,44488.7421875,다큐멘터리,전체관람가,9.31,6.67,7.99,4,8,2,1848,3,5
나이트메어 앨리,월트디즈니컴퍼니코리아 유한책임회사,2022,2,461.0,23501.927734375,범죄,15세이상관람가,7.87,6.8,7.335,4,4,1,1753,3,5
하우스 오브 구찌,유니버설픽쳐스인터내셔널 코리아(유),2022,1,734.0,239.0,범죄,15세이상관람가,7.69,6.888888888888889,7.289444444444445,4,4,1,250,3,2
극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,와이드 릴리즈(주),2022,2,236.0,18093.880859375,애니메이션,전체관람가,6.04,5.0,5.52,4,0,2,1700,3,5
만년이 지나도 변하지 않는 게 있어,"그린나래미디어(주),(주)영화사벌집",2022,2,297.0,10121.7001953125,멜로/로맨스,12세이상관람가,6.53,8.5,7.515000000000001,4,3,0,1566,3,4
시라노,유니버설픽쳐스인터내셔널 코리아(유),2022,2,195.0,10121.7001953125,멜로/로맨스,12세이상관람가,8.73,7.33,8.030000000000001,4,3,0,1566,3,4
리코리쉬 피자,유니버설픽쳐스인터내셔널 코리아(유),2022,2,222.0,10121.7001953125,멜로/로맨스,15세이상관람가,7.61,6.0,6.805,4,3,1,1566,3,4
특송,(주)넥스트엔터테인먼트월드(NEW),2022,1,996.0,239.0,범죄,15세이상관람가,7.49,8.5,7.995,4,4,1,250,3,2
드라이브 마이 카,(주)트리플픽쳐스,2021,12,69.0,686.6063232421875,드라마,15세이상관람가,8.68,6.8,7.74,4,2,1,646,3,3
어나더 라운드,(주)엣나인필름,2022,1,175.0,2377.071533203125,코미디,15세이상관람가,8.13,6.5,7.315,4,6,1,1145,3,4
킹스맨: 퍼스트 에이전트,월트디즈니컴퍼니코리아 유한책임회사,2021,12,63.0,36497.5859375,액션,청소년관람불가,7.49,8.0,7.745,4,1,3,1809,3,5
웨스트 사이드 스토리,월트디즈니컴퍼니코리아 유한책임회사,2022,1,754.0,16271.34375,드라마,12세이상관람가,5.62,6.0,5.8100000000000005,4,2,0,1674,3,5
경관의 피,(주)에이스메이커무비웍스,2022,1,63.0,239.0,범죄,15세이상관람가,6.84,7.0,6.92,4,4,1,250,3,2
피그,판씨네마(주),2022,2,113.0,9822.9453125,드라마,12세이상관람가,7.777657657657658,6.1198989898989895,6.948778323778324,4,2,0,1560,3,4
프리! 더 파이널 스트로크 전편,(주)애니플러스,2022,1,77.0,90301.8671875,애니메이션,전체관람가,9.12,6.33,7.725,4,0,2,1914,3,5
굿 보스,(주)디스테이션,2022,2,85.0,9822.9453125,드라마,15세이상관람가,7.35,4.5,5.925,4,2,1,1560,3,4
해피 뉴 이어,"(주)씨제이이엔엠,주식회사 티빙",2021,12,832.0,7000.65380859375,멜로/로맨스,12세이상관람가,6.55,6.5814814814814815,6.565740740740741,4,3,0,1459,3,4
전투왕,"(주)씨네포트,주식회사 블루필름웍스",2022,2,41.0,44488.7421875,다큐멘터리,12세이상관람가,9.73,6.614736842105264,8.172368421052632,4,8,0,1848,3,5
광대: 소리꾼,트윈플러스파트너스(주),2022,2,116.0,60.0,사극,12세이상관람가,8.7,4.0,6.35,4,18,0,62,3,1
애니멀 체인지,와이드 릴리즈(주),2022,2,155.0,18093.880859375,애니메이션,전체관람가,4.2,6.75,5.475,4,0,2,1700,3,5
매트릭스: 리저렉션,워너브러더스 코리아(주),2021,12,970.0,36497.5859375,액션,15세이상관람가,6.09,4.0,5.045,4,1,1,1809,3,5
매미소리,(주)드림팩트엔터테인먼트,2022,2,70.0,9822.9453125,드라마,15세이상관람가,9.71,6.5,8.105,4,2,1,1560,3,4
우리가 사랑이라고 믿는 것,(주)티캐스트,2022,2,44.0,9822.9453125,드라마,12세이상관람가,8.61,6.6,7.604999999999999,4,2,0,1560,3,4
미싱타는 여자들,(주)영화사 진진,2022,1,39.0,3821.85009765625,다큐멘터리,전체관람가,8.24,5.33,6.785,4,8,2,1289,3,4
인어가 잠든 집,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",2022,1,90.0,16271.34375,드라마,12세이상관람가,7.08,4.0,5.54,4,2,0,1674,3,5
리프레쉬,(주)이놀미디어,2022,2,44.0,9822.9453125,드라마,12세이상관람가,7.69,6.1198989898989895,6.904949494949495,4,2,0,1560,3,4
비틀즈 겟 백: 루프탑 콘서트,월트디즈니컴퍼니코리아 유한책임회사,2022,2,15.0,44488.7421875,다큐멘터리,12세이상관람가,8.83,5.0,6.915,4,8,0,1848,3,5
극장판 천재 추리 탐정 셜록홈즈,(주)넥스트엔터테인먼트월드(NEW),2022,1,134.0,90301.8671875,애니메이션,전체관람가,8.83,6.75,7.79,4,0,2,1914,3,5
원 세컨드,찬란,2022,1,42.0,16271.34375,드라마,12세이상관람가,7.46,7.0,7.23,4,2,0,1674,3,5
라스트 나잇 인 소호,유니버설픽쳐스인터내셔널 코리아(유),2021,12,511.0,7553.2998046875,공포(호러),청소년관람불가,7.71,4.67,6.19,4,5,3,1483,3,4
레지던트 이블: 라쿤시티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022,1,276.0,448.375,액션,청소년관람불가,5.34,6.0,5.67,4,1,3,453,3,3
역으로 가는 길을 알려줘,(주)영화사 진진,2022,2,25.0,9822.9453125,드라마,전체관람가,7.78,4.33,6.055,4,2,2,1560,3,4
가슴이 떨리는 건 너 때문,(주)블루라벨픽쳐스,2022,2,53.0,10121.7001953125,멜로/로맨스,12세이상관람가,6.07,6.440625,6.2553125000000005,4,3,0,1566,3,4
장민호 드라마 최종회,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2022,1,81.0,3635.357177734375,공연,전체관람가,9.91,7.5,8.705,4,14,2,1264,3,4
돈 룩 업,씨제이 씨지브이(CJ CGV)(주),2021,12,656.0,180.2142791748047,코미디,15세이상관람가,8.23,5.33,6.78,4,6,1,191,3,2
클리포드 더 빅 레드 독,롯데컬처웍스(주)롯데엔터테인먼트,2022,1,356.0,831.1818237304688,어드벤처,전체관람가,7.71,6.0,6.855,4,15,2,758,3,3
스크림,롯데컬처웍스(주)롯데엔터테인먼트,2022,2,29.0,139.0,공포(호러),청소년관람불가,8.07,5.0,6.535,4,5,3,146,3,2
도쿄 리벤저스,(주)넥스트엔터테인먼트월드(NEW),2022,1,216.0,16271.34375,드라마,15세이상관람가,7.92,7.25,7.585,4,2,1,1674,3,5
프랑스,M&M 인터내셔널,2022,1,54.0,16271.34375,드라마,12세이상관람가,7.41,6.5,6.955,4,2,0,1674,3,5
서바이벌리스트,(주)라이크콘텐츠,2022,2,15.0,67132.5703125,액션,15세이상관람가,2.94,5.33,4.135,4,1,1,1887,3,5
유체이탈자,"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠",2021,11,63.0,535785.5,판타지,15세이상관람가,7.48,6.33,6.905,3,10,1,2041,2,5
코다,판씨네마(주),2021,8,308.0,15568.5234375,드라마,12세이상관람가,7.315434782608696,6.4,6.857717391304348,2,2,0,1664,1,4
태일이,(주)리틀빅픽쳐스,2021,12,458.0,41329.0859375,애니메이션,전체관람가,8.45,8.0,8.225,4,0,2,1830,3,5
베네데타,(주)팝엔터테인먼트,2021,12,157.0,686.6063232421875,드라마,청소년관람불가,7.85,7.33,7.59,4,2,3,646,3,3
셰터드,주식회사 풍경소리,2022,2,50.0,612.8333129882812,스릴러,청소년관람불가,6.47,5.5,5.984999999999999,4,7,3,584,3,3
늦봄2020,주식회사 블루필름웍스,2022,2,12.0,44488.7421875,다큐멘터리,전체관람가,7.12,6.614736842105264,6.867368421052632,4,8,2,1848,3,5
와일드 리벤지: 마지막 한 놈까지,주식회사 풍경소리,2022,2,50.0,67132.5703125,액션,청소년관람불가,2.75,7.75,5.25,4,1,3,1887,3,5
파워 오브 도그,씨제이 씨지브이(CJ CGV)(주),2021,11,113.0,98366.2890625,드라마,15세이상관람가,6.5,6.33,6.415,3,2,1,1922,2,5
보드랍게,(주)인디플러그,2022,2,20.0,944.0,다큐멘터리,전체관람가,9.45,6.0,7.725,4,8,2,837,3,3
1984 최동원,(주)트리플픽쳐스,2021,11,171.0,889.0,다큐멘터리,전체관람가,8.71,5.33,7.0200000000000005,3,8,2,794,2,3
더 마더,(주)스튜디오디에이치엘,2022,2,32.0,876.0,스릴러,15세이상관람가,9.45,6.33,7.89,4,7,1,785,3,3
축복의 집,필름다빈,2022,2,17.0,854.0,가족,12세이상관람가,8.07,7.0,7.535,4,11,0,772,3,3
임신한 나무와 도깨비,(주)시네마달,2022,1,20.0,830.0,드라마,15세이상관람가,7.92,6.6,7.26,4,2,1,756,3,3
프렌치 디스패치,월트디즈니컴퍼니코리아 유한책임회사,2021,11,273.0,674.0,코미디,15세이상관람가,7.89,6.25,7.07,3,6,1,635,2,3
온 세상이 하얗다,(주)트리플픽쳐스,2022,2,18.0,605.0,멜로/로맨스,15세이상관람가,7.8,5.5,6.65,4,3,1,578,3,3
세라비: 다섯 번의 기적,(주)트리플픽쳐스,2022,2,25.0,567.0,코미디,15세이상관람가,8.12,5.185,6.6525,4,6,1,550,3,3
데드락: 라스트 리벤지,(주)누리픽쳐스,2022,1,50.0,500.0,기타,15세이상관람가,2.05,5.8,3.925,4,16,1,499,3,3
코만도,(주)이놀미디어,2022,2,50.0,500.0,액션,청소년관람불가,8.38,3.5,5.94,4,1,3,499,3,3
시크릿 카운터,(주)디오시네마,2022,2,25.0,496.0,기타,15세이상관람가,7.17,5.471666666666667,6.320833333333333,4,16,1,495,3,3
행성충돌: 지구 최후의 날,(유)조이앤시네마,2022,2,53.0,485.0,어드벤처,15세이상관람가,2.11,5.0,3.555,4,15,1,485,3,3
엔드게임: 나는 킬러다,찬란,2022,1,41.0,457.0,액션,15세이상관람가,8.1,4.67,6.385,4,1,1,461,3,3
대한민국 대통령,(주)라이크콘텐츠,2022,2,22.0,431.0,다큐멘터리,전체관람가,7.82,5.0,6.41,4,8,2,436,3,3
효자,(주)드림팩트엔터테인먼트,2022,1,16.0,416.0,코미디,15세이상관람가,9.16,6.33,7.745,4,6,1,421,3,3
미스터 앤 미세스 아델만,(주)라이크콘텐츠,2022,1,44.0,405.0,코미디,청소년관람불가,7.14,7.6,7.369999999999999,4,6,3,410,3,2
해탄적일천,(주)에이썸엔터테인먼트,2022,1,44.0,376.0,드라마,12세이상관람가,8.13,6.206746031746032,7.168373015873016,4,2,0,382,3,2
창극 변강쇠 점 찍고 옹녀,(주)이놀미디어,2022,2,13.0,368.0,공연,15세이상관람가,6.33,4.67,5.5,4,14,1,374,3,2
존경하고 사랑하는 국민여러분,"주식회사 블루필름웍스,(주)영화사메이플러스",2022,1,22.0,360.0,다큐멘터리,12세이상관람가,4.34,7.0,5.67,4,8,0,365,3,2
청춘적니,(주)다자인소프트,2022,1,112.0,348.0,멜로/로맨스,12세이상관람가,7.23,5.33,6.28,4,3,0,354,3,2
레이징 파이어,"(주)제이앤씨미디어그룹,(주)씨네필운",2022,1,60.0,321.0,액션,15세이상관람가,7.5,3.9,5.7,4,1,1,332,3,2
미인,필름에이픽쳐스,2022,2,5.0,275.0,다큐멘터리,전체관람가,4.33,9.5,6.915,4,8,2,283,3,2
"틱, 틱... 붐!",씨제이 씨지브이(CJ CGV)(주),2021,11,108.0,236.0,드라마,12세이상관람가,8.46,4.0,6.23,3,2,0,247,2,2
신데렐라 2: 마법에 걸린 왕자,(주)박수엔터테인먼트,2021,12,355.0,228.0,애니메이션,전체관람가,6.94,6.67,6.805,4,0,2,239,3,2
연애 빠진 로맨스,(주)씨제이이엔엠,2021,11,967.0,227.0,멜로/로맨스,15세이상관람가,7.95,3.0,5.475,3,3,1,238,2,2
트로트는 인생이다,시네마 뉴원,2022,1,8.0,211.0,코미디,15세이상관람가,6.62,6.175000000000001,6.397500000000001,4,6,1,221,3,2
파이어 셧 업 인 마이 본즈,(주) 인스터 글로벌,2022,2,6.0,208.0,공연,12세이상관람가,0.0,6.211666666666666,3.105833333333333,4,14,0,218,3,2
아웃브레이크 호텔,(주)씨네마블랙,2022,2,5.0,207.0,스릴러,15세이상관람가,2.73,5.54125,4.135625,4,7,1,217,3,2
짬뽕비권,(주)콘텐츠판다,2022,2,9.0,167.0,액션,12세이상관람가,5.97,5.566,5.768,4,1,0,178,3,2
밴드스탠드,(주)위즈온센,2022,2,15.0,161.0,공연,12세이상관람가,9.5,6.0,7.75,4,14,0,171,3,2
블러드써스티,(주)블루라벨픽쳐스,2022,1,5.0,160.0,공포(호러),15세이상관람가,4.33,7.25,5.79,4,5,1,169,3,2
너에게 가는 길,(주)엣나인필름,2021,11,56.0,157.0,다큐멘터리,12세이상관람가,9.22,6.33,7.775,3,8,0,165,2,2
노웨어 스페셜,"그린나래미디어(주),(주)인터파크",2021,12,62.0,144.0,드라마,전체관람가,8.01,6.0,7.005,4,2,2,151,3,2
피닉스,M&M 인터내셔널,2021,7,54.0,143.0,드라마,12세이상관람가,7.17,5.5,6.335,2,2,0,150,1,2
걸 위드 더 카메라,(주)영화사 그램,2022,1,11.0,132.0,다큐멘터리,12세이상관람가,9.71,8.57,9.14,4,8,0,139,3,2
퍼스트 카우,(주)영화사 진진,2021,11,38.0,114.0,드라마,12세이상관람가,8.37,6.0,7.185,3,2,0,120,2,2
비올레타,알토미디어(주),2022,1,27.0,108.0,드라마,청소년관람불가,7.819929577464789,6.206746031746032,7.01333780460541,4,2,3,113,3,2
밀라노 두오모 콘서트,일미디어,2022,1,6.0,104.0,공연,전체관람가,9.388461538461538,5.965333333333334,7.676897435897436,4,14,2,109,3,2
야연2,초코필름,2022,2,5.0,100.0,액션,15세이상관람가,0.0,5.566,2.783,4,1,1,105,3,2
첩혈강호,(주)액티버스엔터테인먼트,2022,2,5.0,100.0,액션,15세이상관람가,0.0,5.566,2.783,4,1,1,105,3,2
카니발 클럽,TCO(주)더콘텐츠온,2022,2,5.0,100.0,공포(호러),청소년관람불가,7.0,5.543333333333333,6.2716666666666665,4,5,3,105,3,2
칼의 전쟁,초코필름,2022,2,5.0,100.0,액션,15세이상관람가,0.0,5.566,2.783,4,1,1,105,3,2
바이올렛 에버가든 오케스트라 콘서트 2021,(주)라이크콘텐츠,2022,1,22.0,88.0,공연,전체관람가,9.03,7.0,8.015,4,14,2,93,3,1
끝없음에 관하여,찬란,2021,12,38.0,84.0,기타,12세이상관람가,7.25,5.3325,6.29125,4,16,0,89,3,1
비욘드라이브 더 무비 : 엔시티 레조넌스,씨제이 씨지브이(CJ CGV)(주),2022,1,34.0,84.0,공연,전체관람가,9.71,6.67,8.190000000000001,4,14,2,89,3,1
램,오드,2021,12,123.0,83.0,공포(호러),15세이상관람가,7.07,6.0975,6.58375,4,5,1,88,3,1
크리미널 카운트다운,(유)조이앤시네마,2022,2,10.0,78.0,스릴러,청소년관람불가,10.0,8.0,9.0,4,7,3,83,3,1
해피 아워,(주)트리플픽쳐스,2021,12,15.0,78.0,드라마,15세이상관람가,8.81,6.0,7.405,4,2,1,83,3,1
사울 레이터: 인 노 그레이트 허리,(주)글린트,2021,12,14.0,64.0,다큐멘터리,전체관람가,7.5,6.67,7.085,4,8,2,67,3,1
전장의 피아니스트,찬란,2022,1,29.0,50.0,드라마,12세이상관람가,7.33,6.206746031746032,6.768373015873015,4,2,0,51,3,1
삼국지 관운장: 청룡언월도,(주)제이앤씨미디어그룹,2022,2,6.0,43.0,액션,12세이상관람가,4.55,5.566,5.058,4,1,0,44,3,1
블루버스데이,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2022,1,43.0,38.0,멜로/로맨스,12세이상관람가,8.14,5.4471428571428575,6.793571428571429,4,3,0,38,3,1
벌지 탱크 대전투,(유)조이앤시네마,2022,2,6.0,37.0,액션,15세이상관람가,5.25,5.0,5.125,4,1,1,37,3,1
사막을 건너 호수를 지나,영화배급협동조합 씨네소파,2021,12,12.0,37.0,다큐멘터리,전체관람가,8.43,7.0,7.715,4,8,2,37,3,1
당신얼굴 앞에서,"(주)영화제작전원사 ,(주)콘텐츠판다",2021,10,69.0,33.0,드라마,15세이상관람가,7.41,7.75,7.58,3,2,1,33,2,1
티탄,"(주)영화특별시에스엠씨,주식회사 왓챠",2021,12,92.0,28.0,드라마,청소년관람불가,7.11,5.67,6.390000000000001,4,2,3,28,3,1
고스트버스터즈 라이즈,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,12,888.0,27.0,어드벤처,12세이상관람가,7.24,5.5,6.37,4,15,0,27,3,1
소설가 구보의 하루,필름다빈,2021,12,36.0,25.0,드라마,12세이상관람가,8.33,8.5,8.415,4,2,0,25,3,1
그린 나이트,(주)팝엔터테인먼트,2021,8,235.0,24.0,어드벤처,15세이상관람가,7.04,5.672222222222222,6.356111111111111,2,15,1,24,1,1
시카리오: 나이트 오브 이스케이프,(주)이놀미디어,2022,1,50.0,22.0,액션,15세이상관람가,2.86,5.9,4.38,4,1,1,22,3,1
좀비 살아있다,(유)조이앤시네마,2022,1,26.0,20.0,액션,15세이상관람가,8.31,5.9,7.105,4,1,1,20,3,1
샌 안드레스 메가 대지진,(유)조이앤시네마,2022,1,48.0,18.0,액션,12세이상관람가,10.0,4.5,7.25,4,1,0,18,3,1
아이 스틸 빌리브,(주)이놀미디어,2022,1,33.0,17.0,드라마,전체관람가,7.96,6.206746031746032,7.083373015873016,4,2,2,17,3,1
투모로우 아포칼립스,(유)조이앤시네마,2022,1,50.0,15.0,어드벤처,15세이상관람가,2.0,6.076666666666667,4.038333333333334,4,15,1,14,3,1
특수부대 코만도,(유)조이앤시네마,2022,1,5.0,15.0,액션,15세이상관람가,0.0,6.0,3.0,4,1,1,14,3,1
행복의 속도,(주)영화사 진진,2021,11,23.0,14.0,다큐멘터리,전체관람가,7.44,6.33,6.885,3,8,2,13,2,1
나는 조선사람입니다,"㈜인디스토리,엠앤씨에프",2021,12,23.0,13.0,다큐멘터리,12세이상관람가,9.22,6.33,7.775,4,8,0,12,3,1
무녀도,(주)씨네필운,2021,11,49.0,12.0,뮤지컬,12세이상관람가,8.4,6.684,7.542,3,17,0,11,2,1
미결처리반 Q: 침묵의 암살자,(주)콘텐츠판다,2022,1,4.0,11.0,범죄,15세이상관람가,8.0,5.5,6.75,4,4,1,10,3,1
보는 것을 사랑한다,(주)드림팩트엔터테인먼트,2021,10,8.0,11.0,다큐멘터리,전체관람가,8.28,4.0,6.14,3,8,2,10,2,1
긴 하루,하준사,2021,12,12.0,4.0,드라마,12세이상관람가,4.96,6.71,5.835,4,2,0,3,3,1
최선의 삶,(주)엣나인필름,2021,9,101.0,4.0,드라마,15세이상관람가,7.533771929824562,5.0,6.266885964912281,3,2,1,3,2,1
피드백,(주)스튜디오 보난자,2022,1,38.0,4.0,공포(호러),청소년관람불가,5.848333333333333,6.0,5.924166666666666,4,5,3,3,3,1
마이 뉴욕 다이어리,(주)영화사 진진,2021,12,180.0,3.0,드라마,12세이상관람가,7.1,6.14,6.619999999999999,4,2,0,2,3,1
카잭,(유)조이앤컨텐츠그룹,2022,2,3.0,3.0,스릴러,15세이상관람가,4.69,5.0,4.845000000000001,4,7,1,2,3,1
"사비나: 그리스도를 위한 고난, 나치 시대",커넥트픽쳐스(주),2021,11,44.0,2.0,드라마,12세이상관람가,9.47,2.0,5.735,3,2,0,1,2,1
신들의 분노,(주)스튜디오디에이치엘,2022,1,6.0,2.0,액션,15세이상관람가,3.48,5.9,4.69,4,1,1,1,3,1
글래머,(주)라온컴퍼니플러스,2022,2,1.0,1.0,미스터리,15세이상관람가,0.0,5.71125,2.855625,4,9,1,0,3,1
금의위: 초능척살대,초코필름,2022,1,5.0,1.0,액션,12세이상관람가,0.0,5.9,2.95,4,1,0,0,3,1
미시간 살인사건,(주)라온컴퍼니플러스,2022,2,1.0,1.0,범죄,15세이상관람가,0.0,6.583333333333333,3.2916666666666665,4,4,1,0,3,1
인생게임,(주)콘텐츠윙,2021,12,2.0,1.0,드라마,12세이상관람가,0.0,7.43,3.715,4,2,0,0,3,1
더 배트맨,워너브러더스 코리아(주),2022,3,63.0,26405.654296875,액션,15세이상관람가,8.12,5.5,6.81,1,1,1,1764,0,5
이상한 나라의 수학자,(주)쇼박스,2022,3,63.0,14473.5244140625,드라마,12세이상관람가,7.88,5.5,6.69,1,2,0,1646,0,4
뜨거운 피,"(주)스튜디오디에이치엘,(주)키다리스튜디오",2022,3,63.0,110387.0,범죄,15세이상관람가,6.84,6.0,6.42,1,4,1,1935,0,5
극장판 주술회전 0,(주)대교 미디어콘텐츠사업본부,2022,2,836.0,18093.880859375,애니메이션,15세이상관람가,8.91,5.5,7.205,4,0,1,1700,3,5
문폴,(주)누리픽쳐스,2022,3,63.0,26405.654296875,액션,12세이상관람가,5.62,5.0,5.3100000000000005,1,1,0,1764,0,5
언차티드,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022,2,63.0,67132.5703125,액션,12세이상관람가,7.04,5.33,6.1850000000000005,4,1,0,1887,3,5
모비우스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022,3,63.0,26405.654296875,액션,15세이상관람가,6.76,7.2,6.98,1,1,1,1764,0,5
스펜서,"(주)영화특별시에스엠씨,그린나래미디어(주)",2022,3,730.0,14473.5244140625,드라마,12세이상관람가,7.8,5.0,6.4,1,2,0,1646,0,4
나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,(주)스마일이엔티,2022,3,459.0,17394.171875,애니메이션,12세이상관람가,8.89,6.0,7.445,1,0,0,1686,0,5
안테벨룸,(주)올스타엔터테인먼트,2022,2,638.0,851652.6875,미스터리,15세이상관람가,7.34,5.0,6.17,4,9,1,2072,3,5
블랙라이트,(주)퍼스트런,2022,3,521.0,26405.654296875,액션,15세이상관람가,6.5,3.5,5.0,1,1,1,1764,0,5
인민을 위해 복무하라,(주)제이앤씨미디어그룹,2022,2,598.0,10121.7001953125,멜로/로맨스,청소년관람불가,5.35,7.0,6.175,4,3,3,1566,3,4
스파이더맨: 노 웨이 홈,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,12,63.0,36497.5859375,액션,12세이상관람가,9.09,6.67,7.88,4,1,0,1809,3,5
나이트메어 앨리,월트디즈니컴퍼니코리아 유한책임회사,2022,2,461.0,23501.927734375,범죄,15세이상관람가,7.87,5.67,6.77,4,4,1,1753,3,5
해적: 도깨비 깃발,롯데컬처웍스(주)롯데엔터테인먼트,2022,1,63.0,831.1818237304688,어드벤처,12세이상관람가,6.12,5.0,5.5600000000000005,4,15,0,758,3,3
배니싱: 미제사건,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022,3,561.0,110387.0,범죄,15세이상관람가,5.21,6.75,5.98,1,4,1,1935,0,5
킹메이커,메가박스중앙(주)플러스엠,2022,1,63.0,16271.34375,드라마,15세이상관람가,8.07,6.33,7.2,4,2,1,1674,3,5
하늘의 푸르름을 아는 사람이여,(주)넥스트엔터테인먼트월드(NEW),2022,3,121.0,17394.171875,애니메이션,12세이상관람가,7.79,7.33,7.56,1,0,0,1686,0,5
벨파스트,유니버설픽쳐스인터내셔널 코리아(유),2022,3,272.0,14473.5244140625,드라마,12세이상관람가,8.21,5.0,6.605,1,2,0,1646,0,4
메리 미,유니버설픽쳐스인터내셔널 코리아(유),2022,3,179.0,2297.315673828125,멜로/로맨스,12세이상관람가,10.0,6.2148,8.1074,1,3,0,1131,0,4
극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,와이드 릴리즈(주),2022,2,236.0,18093.880859375,애니메이션,전체관람가,6.04,6.5,6.27,4,0,2,1700,3,5
우리가 사랑이라고 믿는 것,(주)티캐스트,2022,2,44.0,9822.9453125,드라마,12세이상관람가,8.61,8.5,8.555,4,2,0,1560,3,4
드라이브 마이 카,(주)트리플픽쳐스,2021,12,69.0,686.6063232421875,드라마,15세이상관람가,8.68,6.0,7.34,4,2,1,646,3,3
킹 리차드,워너브러더스 코리아(주),2022,3,156.0,93.0,가족,12세이상관람가,7.76,5.67,6.715,1,11,0,98,0,2
씽2게더,유니버설픽쳐스인터내셔널 코리아(유),2022,1,63.0,90301.8671875,애니메이션,전체관람가,8.8,5.0,6.9,4,0,2,1914,3,5
에펠,"주식회사 블루필름웍스,(주)플레이그램",2022,3,182.0,2297.315673828125,멜로/로맨스,15세이상관람가,6.24,7.0,6.62,1,3,1,1131,0,4
