영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,계절,장르2,등급_le,관람객수_le,계절_le,관객수_등급
마녀(魔女) Part2. The Other One,(주)넥스트엔터테인먼트월드(NEW),2022,6,63.0,5533.7001953125,액션,15세이상관람가,6.95,6.0,6.475,2,1,1,1408,1,4
뽀로로 극장판 드래곤캐슬 대모험,(주)넥스트엔터테인먼트월드(NEW),2022,7,748.0,61293.453125,애니메이션,전체관람가,8.85,6.33,7.59,2,0,2,1877,1,5
엘비스,워너브러더스 코리아(주),2022,7,665.0,2767.415283203125,드라마,15세이상관람가,8.75,6.0,7.375,2,2,1,1192,1,4
빅샤크4: 바다공룡 대모험,와이드 릴리즈(주),2022,7,455.0,194.0,어드벤처,전체관람가,6.71,6.0,6.355,2,15,2,205,1,2
더 킬러: 죽어도 되는 아이,"(주)아이에이치큐,(주)영화사 륙,(주)씨네필운",2022,7,314.0,156217.234375,액션,청소년관람불가,8.37,7.0,7.685,2,1,3,1962,1,5
버즈 라이트이어,월트디즈니컴퍼니코리아 유한책임회사,2022,6,844.0,251541.71875,애니메이션,전체관람가,7.4,5.0,6.2,2,0,2,1998,1,5
뒤틀린 집,(주)스튜디오디에이치엘,2022,7,156.0,1104.72216796875,공포(호러),15세이상관람가,4.0,6.131666666666667,5.065833333333334,2,5,1,904,1,3
그레이 맨,씨제이 씨지브이(CJ CGV)(주),2022,7,220.0,156217.234375,액션,15세이상관람가,7.9,6.8,7.35,2,1,1,1962,1,5
브로커,(주)씨제이이엔엠,2022,6,63.0,7971.486328125,드라마,12세이상관람가,6.59,9.0,7.795,2,2,0,1507,1,4
큐어,M&M 인터내셔널,2022,7,55.0,1104.72216796875,공포(호러),15세이상관람가,8.66,7.17,7.915,2,5,1,904,1,3
썸머 필름을 타고!,"(주)싸이더스,(주)블루라벨픽쳐스",2022,7,65.0,452.25,기타,전체관람가,7.62,6.0,6.8100000000000005,2,16,2,457,1,3
쥬라기 월드: 도미니언,유니버설픽쳐스인터내셔널 코리아(유),2022,6,63.0,5533.7001953125,액션,12세이상관람가,6.78,6.0,6.390000000000001,2,1,0,1408,1,4
프리! 더 파이널 스트로크 후편,(주)애니플러스,2022,6,83.0,251541.71875,애니메이션,전체관람가,8.89,7.0,7.945,2,0,2,1998,1,5
컴온 컴온,(주)스튜디오디에이치엘,2022,6,113.0,7971.486328125,드라마,12세이상관람가,7.66,5.0,6.33,2,2,0,1507,1,4
극장판 윌벤져스 : 수상한 캠핑 대소동,(주)대교 미디어콘텐츠사업본부,2022,6,110.0,251541.71875,애니메이션,전체관람가,7.44,4.0,5.720000000000001,2,0,2,1998,1,5
체리마호: 30살까지 동정이면 마법사가 될 수 있대,(주)영화사 그램,2022,7,56.0,115.5,판타지,12세이상관람가,8.63,6.75,7.69,2,10,0,122,1,2
로스트 도터,"(주)영화특별시에스엠씨,그린나래미디어(주)",2022,7,66.0,2767.415283203125,드라마,15세이상관람가,7.74,6.67,7.205,2,2,1,1192,1,4
멘,판씨네마(주),2022,7,96.0,2767.415283203125,드라마,청소년관람불가,6.56,6.0,6.279999999999999,2,2,3,1192,1,4
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,(주)넥스트엔터테인먼트월드(NEW),2022,6,809.0,251541.71875,애니메이션,전체관람가,8.18,5.873018867924528,7.026509433962264,2,0,2,1998,1,5
비욘드 라이브 더 무비 : 샤이니 월드,씨제이 씨지브이(CJ CGV)(주),2022,6,13.0,2615.769287109375,공연,전체관람가,7.626,6.18076923076923,6.903384615384615,2,14,2,1178,1,4
뿌까의 짜장면파티,(주)에픽캔,2022,7,11.0,452.25,기타,전체관람가,8.117272727272727,7.5,7.808636363636364,2,16,2,457,1,3
위대한 침묵,"(주)지티지그룹,와이드 릴리즈(주)",2022,6,48.0,1111.7291259765625,다큐멘터리,12세이상관람가,8.61,7.5,8.055,2,8,0,908,1,3
니얼굴,(주)영화사 진진,2022,6,65.0,1111.7291259765625,다큐멘터리,전체관람가,8.83,5.0,6.915,2,8,2,908,1,3
