NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,서울의 봄,김성수,(주)하이브미디어코프,,플러스엠 엔터테인먼트,20231122,개봉영화,장편,한국,2328,27670064459,2952902,6582857139,682126,드라마,12세이상관람가,일반영화
2,그대들은 어떻게 살 것인가,미야자키 하야오,,대원미디어(주),메가박스중앙(주),20231025,개봉영화,장편,일본,1733,8858779363,903088,2821389621,277689,애니메이션,전체관람가,독립/예술영화
3,더 마블스,니아 다코스타,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20231108,개봉영화,장편,미국,1532,6807601786,686976,1913020068,179688,액션,12세이상관람가,일반영화
4,프레디의 피자가게,엠마 타미,유니버설픽쳐스인터내셔널 코리아(유),,유니버설픽쳐스인터내셔널 코리아(유),20231115,개봉영화,장편,미국,1041,5706230228,587136,945127463,93762,공포(호러),12세이상관람가,일반영화
5,소년들,정지영,"(주)아우라픽처스,(주)씨제이이엔엠",,(주)씨제이이엔엠,20231101,개봉영화,장편,한국,1042,4297375469,452168,859850097,87987,드라마,15세이상관람가,일반영화
6,30일,남대중,(주)영화사울림,,(주)마인드마크,20231003,개봉영화,장편,한국,1226,2761079249,283824,679303581,68419,코미디,12세이상관람가,일반영화
7,톡 투 미,"대니 필리푸,마이클 필리푸",,(주)더쿱디스트리뷰션,"주식회사 올랄라스토리,롯데컬처웍스(주)롯데시네마",20231101,개봉영화,장편,호주,604,1740472720,184095,557059812,59136,공포(호러),15세이상관람가,독립/예술영화
8,헝거게임: 노래하는 새와 뱀의 발라드,프란시스 로렌스,,(주)누리픽쳐스,(주)누리픽쳐스,20231115,개봉영화,장편,미국,986,1737857269,177597,628046017,60623,액션,15세이상관람가,일반영화
9,싱글 인 서울,박범수,"(주)디씨지플러스,(주)명필름,(주)인사이트필름",,롯데컬처웍스(주)롯데엔터테인먼트,20231129,개봉영화,장편,한국,917,864469381,101741,356638082,39323,멜로/로맨스,12세이상관람가,일반영화
10,뉴 노멀,정범식,언파스튜디오,,(주)바이포엠스튜디오,20231108,개봉영화,장편,한국,546,970111123,101047,307721809,31506,스릴러,15세이상관람가,일반영화
11,용감한 시민,박진표,"스튜디오엔(주),볼미디어(주)",,(주)마인드마크,20231025,개봉영화,장편,한국,887,587779643,64528,95055041,10336,액션,15세이상관람가,일반영화
12,괴물,고레에다 히로카즈,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),20231129,개봉영화,장편,일본,647,544065383,62624,237276581,26774,드라마,12세이상관람가,독립/예술영화
13,스노우 폭스: 썰매개가 될 거야!,아론 우들리,,(주)히스토리필름,(주)팝엔터테인먼트,20231123,개봉영화,장편,미국,479,455052537,53950,64532876,7301,애니메이션,전체관람가,독립/예술영화
14,블루 자이언트,타치카와 유즈루,,판씨네마(주),판씨네마(주),20231018,개봉영화,장편,일본,574,406152995,44953,237148126,25478,애니메이션,12세이상관람가,독립/예술영화
15,이빨요정 비올레타: 요정나라로 돌아갈래!,,,찬란,TCO(주)더콘텐츠온,20231118,개봉영화,장편,독일,298,371032400,44866,56179700,7041,애니메이션,전체관람가,독립/예술영화
16,더 와일드: 야수들의 전쟁,김봉한,"(주)아센디오,(주)제이앤씨미디어그룹",,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹,(주)아센디오",20231115,개봉영화,장편,한국,239,360949000,41260,69889400,8528,액션,청소년관람불가,일반영화
17,1947 보스톤,강제규,"(주)비에이엔터테인먼트,(주)빅픽쳐",,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",20230927,개봉영화,장편,한국,1282,230262218,32078,51762458,7150,드라마,12세이상관람가,일반영화
18,플라워 킬링 문,마틴 스코세이지,,,롯데컬처웍스(주)롯데엔터테인먼트,20231019,개봉영화,장편,미국,719,302488664,31473,164231214,16836,범죄,청소년관람불가,일반영화
19,테일러 스위프트 디 에라스 투어,,,,씨제이포디플렉스 주식회사,20231103,개봉영화,장편,미국,51,839042500,30232,508597000,18444,공연,전체관람가,일반영화
20,비투비 타임 : 비투게더 더 무비,,,,(주)케이티알파,20231115,개봉영화,장편,한국,32,575437500,28775,279758000,13990,공연,전체관람가,일반영화
21,여귀교- 저주를 부르는 게임,해악륭,,(주)퍼스트런,"메가박스중앙(주),(주)스튜디오 산타클로스엔터테인먼트,(주)블레이드이엔티",20231115,개봉영화,장편,대만,401,252061027,27632,59900796,6604,공포(호러),15세이상관람가,일반영화
22,마이 샤이니 월드,이후빈,"플러스엠 엔터테인먼트,(주)에스엠엔터테인먼트",,메가박스중앙(주),20231103,개봉영화,장편,한국,118,528240000,23450,278459000,12357,공연,전체관람가,일반영화
23,퍼피 구조대: 더 마이티 무비,캘런 브런커,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20231006,개봉영화,장편,미국,566,181664859,22523,22092510,2647,애니메이션,전체관람가,일반영화
24,사채소년,황동석,(주)26컴퍼니,,영화사빅,20231122,개봉영화,장편,한국,211,159695100,20786,63302100,8031,액션,15세이상관람가,일반영화
