NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,위키드,존 추,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20241120,개봉영화,장편,미국,"1,803","10,592,078,200","1,071,533","4,060,358,060","387,822",판타지,전체관람가,일반영화
2,모아나 2,데이브 데릭 주니어,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20241127,개봉영화,장편,미국,"1,985","8,390,353,250","931,286","1,798,586,460","191,199",애니메이션,전체관람가,일반영화
3,글래디에이터 Ⅱ,리들리 스콧,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20241113,개봉영화,장편,미국,"1,769","8,219,618,370","841,741","2,435,083,680","236,207",액션,청소년관람불가,일반영화
4,청설,조선호,(주)무비락,,플러스엠 엔터테인먼트,20241106,개봉영화,장편,한국,"1,060","7,139,987,740","763,788","2,023,288,250","206,567",드라마,전체관람가,일반영화
5,베놈: 라스트 댄스,켈리 마르셀,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20241023,개봉영화,장편,미국,"1,663","7,350,822,100","752,212","1,861,023,050","182,434",액션,15세이상관람가,일반영화
6,히든페이스,김대우,(주)스튜디오앤뉴,,(주)넥스트엔터테인먼트월드(NEW),20241120,개봉영화,장편,한국,"1,072","6,116,537,760","653,365","1,567,619,880","163,672",스릴러,청소년관람불가,일반영화
7,아마존 활명수,김창주,"(주)로드픽쳐스,(주)씨제이이엔엠",,(주)바른손이앤에이,20241030,개봉영화,장편,한국,"1,479","4,106,732,230","447,950","827,610,240","87,268",코미디,12세이상관람가,일반영화
8,사흘,현문섭,(주)아이필름코퍼레이션,,(주)쇼박스,20241114,개봉영화,장편,한국,836,"1,871,732,240","199,644","429,669,520","44,810",공포(호러),15세이상관람가,일반영화
9,보통의 가족,허진호,(주)하이브미디어코프,,"(주)하이브미디어코프,(주)마인드마크",20241016,개봉영화,장편,한국,"1,277","938,793,050","101,091","287,752,770","30,068",드라마,15세이상관람가,일반영화
10,대도시의 사랑법,이언희,"(주)쇼박스,주식회사 고래와 유기농",,플러스엠 엔터테인먼트,20241001,개봉영화,장편,한국,869,"910,438,760","95,142","375,293,660","38,207",드라마,15세이상관람가,일반영화
