NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
"1","범죄도시4","허명행","주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트","20240424","개봉영화","장편","한국","2,980","47,568,478,254","5,005,372","9,996,264,976","1,015,326","액션","15세이상관람가","일반영화"
"2","쿵푸팬더4","마이크 미첼,스테파니 스티네",,"유니버설픽쳐스인터내셔널 코리아(유)","유니버설픽쳐스인터내셔널 코리아(유)","20240410","개봉영화","장편","미국","2,311","13,113,276,904","1,403,363","3,173,750,448","323,767","애니메이션","전체관람가","일반영화"
"3","파묘","장재현","(주)쇼박스",,"(주)쇼박스","20240222","개봉영화","장편","한국","2,355","8,837,982,638","902,841","2,009,912,033","200,218","미스터리","15세이상관람가","일반영화"
"4","댓글부대","안국진","(주)영화적순간",,"(주)에이스메이커무비웍스","20240327","개봉영화","장편","한국","1,228","4,185,464,098","430,033","1,147,801,506","111,920","범죄","15세이상관람가","일반영화"
"5","고질라 X 콩: 뉴 엠파이어","아담 윈가드",,"워너브러더스 코리아(주)","워너브러더스 코리아(주)","20240327","개봉영화","장편","미국","995","1,873,675,311","187,566","384,715,440","35,197","액션","12세이상관람가","일반영화"
"6","오멘: 저주의 시작","아르카샤 스티븐슨",,"월트디즈니컴퍼니코리아 유한책임회사","월트디즈니컴퍼니코리아 유한책임회사","20240403","개봉영화","장편","미국","644","1,844,688,704","179,279","534,435,945","51,139","공포(호러)","15세이상관람가","일반영화"
"7","듄: 파트2","드니 빌뇌브",,"워너브러더스 코리아(주)","워너브러더스 코리아(주)","20240228","개봉영화","장편","미국","1,544","1,419,809,499","108,156","822,527,419","59,302","액션","12세이상관람가","일반영화"
"8","비키퍼","데이비드 에이어",,"(주)올스타엔터테인먼트","(주)바른손이앤에이","20240403","개봉영화","장편","미국","713","945,286,905","101,325","286,838,175","30,617","액션","청소년관람불가","일반영화"
"9","유미의 세포들 더 무비",,"(주)로커스,스튜디오엔(주)",,"씨제이 씨지브이(CJ CGV)(주),롯데컬처웍스(주)롯데시네마","20240403","개봉영화","장편","한국","441","585,255,900","72,888","190,850,050","24,331","애니메이션","전체관람가","일반영화"
"10","극장판 스파이 패밀리 코드 : 화이트","카타기리 타카시",,"에스엠지홀딩스 주식회사","(주)넥스트엔터테인먼트월드(NEW),(주)대교 미디어콘텐츠사업본부","20240320","개봉영화","장편","일본","917","466,036,889","46,855","164,750,844","16,207","애니메이션","12세이상관람가","일반영화"
"11","기동전사 건담 시드 프리덤","후쿠다 미츠오",,"(주)케이티알파","워터홀컴퍼니(주)","20240403","개봉영화","장편","일본","418","479,299,228","45,916","171,606,466","16,162","애니메이션","12세이상관람가","일반영화"
"12","고스트버스터즈: 오싹한 뉴욕","길 키넌",,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점","20240417","개봉영화","장편","미국","671","400,398,461","42,831","108,440,100","10,996","액션","12세이상관람가","일반영화"
"13","씬","한동석","(주)도어이앤엠",,"롯데컬처웍스(주)롯데엔터테인먼트","20240403","개봉영화","장편","한국","409","354,647,735","38,225","111,159,024","12,169","공포(호러)","15세이상관람가","일반영화"
"14","챌린저스","루카 구아다니노",,"워너브러더스 코리아(주)","워너브러더스 코리아(주)","20240424","개봉영화","장편","미국","458","334,431,985","35,455","155,779,593","16,340","드라마","15세이상관람가","일반영화"
"15","골드핑거","장문강",,"(주)퍼스트런","메가박스중앙(주)","20240410","개봉영화","장편","홍콩","423","313,694,372","35,326","118,441,351","13,172","범죄","15세이상관람가","일반영화"
"16","슈가│어거스트 디 투어 ‘디-데이’ 더 무비","박준수","(주)하이브",,"씨지브이 아이스콘","20240410","개봉영화","장편","한국","88","911,582,500","31,808","528,521,500","18,372","공연","12세이상관람가","일반영화"
