NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,이터널스,클로이 자오,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-11-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
2,듄,드니 빌뇌브,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-10-,개봉영화,장편,미국,,,,,,SF,12세이상관람가,일반영화
3,장르만 로맨스,조은지,(주)비리프,,(주)넥스트엔터테인먼트월드(NEW),2021-11-,개봉영화,장편,한국,,,,,,드라마,15세이상관람가,일반영화
4,유체이탈자,윤재근,"(주)비에이엔터테인먼트,(주)사람엔터테인먼트",,"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠",2021-11-,개봉영화,장편,한국,,,,,,판타지,15세이상관람가,일반영화
5,강릉,윤영빈,"(주)아센디오,(주)본팩토리,(주)데이드림엔터테인먼트,(유)조이앤시네마",,"(주)스튜디오 산타클로스엔터테인먼트,(주)아센디오,(주)제이앤씨미디어그룹",2021-11-,개봉영화,장편,한국,760,,,,,범죄,청소년관람불가,일반영화
6,엔칸토: 마법의 세계,"바이론 하워드,자레드 부시,채리스 카스트로 스미스",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-11-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
7,연애 빠진 로맨스,정가영,"(주)씨제이이엔엠,트웰브져니(주)",,(주)씨제이이엔엠,2021-11-,개봉영화,장편,한국,967,,,,,멜로/로맨스,15세이상관람가,일반영화
8,베놈 2: 렛 데어 비 카니지,앤디 서키스,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-10-,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
9,아담스 패밀리 2,"그렉 티어넌,콘래드 베논",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-11-,개봉영화,장편,미국,750,,,,,애니메이션,전체관람가,일반영화
10,디어 에반 핸슨,스티븐 크보스키,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-11-,개봉영화,장편,미국,630,,,,,뮤지컬,12세이상관람가,일반영화
11,고장난 론,"사라 스미스,장 필립 바인,옥타비오 E. 로드리게즈",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-10-,개봉영화,장편,미국,904,,,,,애니메이션,전체관람가,일반영화
12,프렌치 디스패치,웨스 앤더슨,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-11-,개봉영화,장편,미국,273,,,,,코미디,15세이상관람가,독립/예술영화
13,귀멸의 칼날: 남매의 연,소토자키 하루오,,애니맥스 브로드캐스팅 코리아 유한회사,(주)박수엔터테인먼트,2021-11-,개봉영화,장편,일본,383,,,,,애니메이션,15세이상관람가,일반영화
14,귀멸의 칼날: 나타구모산 편,소토자키 하루오,,애니맥스 브로드캐스팅 코리아 유한회사,(주)박수엔터테인먼트,2021-11-,개봉영화,장편,일본,310,,,,,애니메이션,15세이상관람가,일반영화
15,기적,이장훈,(주)블러썸픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2021-09-,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
16,아네트,레오스 카락스,,주식회사 왓챠,"그린나래미디어(주),주식회사 왓챠",2021-10-,개봉영화,장편,프랑스,330,,,,,드라마,15세이상관람가,독립/예술영화
17,뱅드림! 필름 라이브 세컨드 스테이지,우메츠 토모미,,(주)애니플러스,(주)애니플러스,2021-11-,개봉영화,장편,일본,93,,,,,애니메이션,전체관람가,일반영화
18,보이스,"김선,김곡",(주)수필름,,(주)씨제이이엔엠,2021-09-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
19,바다 탐험대 옥토넛 : 육지수호 대작전,,,"(주)얼리버드픽쳐스,와이드 릴리즈(주)",와이드 릴리즈(주),2021-10-,개봉영화,장편,영국,205,,,,,애니메이션,전체관람가,일반영화
20,너에게 가는 길,변규리,성소수문화환경을 위한 모임 '연분홍치마',,(주)엣나인필름,2021-11-,개봉영화,장편,한국,56,,,,,다큐멘터리,12세이상관람가,독립/예술영화
21,"틱, 틱... 붐!",린-마누엘 미란다,,,씨제이 씨지브이(CJ CGV)(주),2021-11-,개봉영화,장편,미국,108,,,,,드라마,12세이상관람가,일반영화
22,퍼스트 카우,켈리 레인하르트,,(주)영화사 진진,(주)영화사 진진,2021-11-,개봉영화,장편,미국,38,,,,,드라마,12세이상관람가,독립/예술영화
23,007 노 타임 투 다이,캐리 후쿠나가,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-09-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
24,메이드 인 이태리,제임스 다시,,오드,오드,2021-11-,개봉영화,장편,영국,124,,,,,드라마,12세이상관람가,독립/예술영화
25,동백,신준영,(주)해오름이앤티,,시네마 뉴원,2021-10-,개봉영화,장편,한국,60,,,,640,드라마,12세이상관람가,독립/예술영화
26,1984 최동원,조은성,"(주)영화사진,엠앤씨에프",,(주)트리플픽쳐스,2021-11-,개봉영화,장편,한국,172,,,,,다큐멘터리,전체관람가,독립/예술영화
27,라스트 듀얼: 최후의 결투,리들리 스콧,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-10-,개봉영화,장편,미국,367,,,,,액션,청소년관람불가,일반영화
28,세버그,,,(주)블루라벨픽쳐스,예지림엔터테인먼트,2021-11-,개봉영화,장편,미국,107,,,,,드라마,15세이상관람가,독립/예술영화
29,빌리 홀리데이,리 다니엘스,,(주)퍼스트런,(주)디스테이션,2021-11-,개봉영화,장편,미국,71,,,,,드라마,청소년관람불가,독립/예술영화
30,파워 오브 도그,제인 캠피온,,,씨제이 씨지브이(CJ CGV)(주),2021-11-,개봉영화,장편,미국,113,,,,,드라마,15세이상관람가,일반영화
31,후겟츠 웨슬리,헉 봇코,,(주)콘텐츠패밀리,(주)영화특별시에스엠씨,2021-11-,개봉영화,장편,미국,89,,,,,코미디,12세이상관람가,일반영화
32,프리 가이,숀 레비,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-08-,개봉영화,장편,미국,750,,,,,액션,12세이상관람가,일반영화
33,행복의 속도,박혁지,(주)하이하버픽쳐스,,(주)영화사 진진,2021-11-,개봉영화,장편,한국,23,,,,,다큐멘터리,전체관람가,독립/예술영화
34,괴짜들의 로맨스,,,"메가박스중앙(주),오드",메가박스중앙(주),2021-11-,개봉영화,장편,대만,152,,,,,멜로/로맨스,12세이상관람가,독립/예술영화
35,무녀도,안재훈,(주)연필로명상하기,,(주)씨네필운,2021-11-,개봉영화,장편,한국,49,,,,,뮤지컬,12세이상관람가,일반영화
36,송해 1927,윤재호,"주식회사 이로츠,빈스로드",,(주)스튜디오디에이치엘,2021-11-,개봉영화,장편,한국,60,,,,,다큐멘터리,12세이상관람가,독립/예술영화
37,그림자꽃,이승준,블루버드픽처스,,(주)엣나인필름,2021-10-,개봉영화,장편,한국,89,,,,,다큐멘터리,12세이상관람가,독립/예술영화
38,애프터: 관계의 함정,,,판씨네마(주),판씨네마(주),2021-10-,개봉영화,장편,미국,378,,,,,멜로/로맨스,15세이상관람가,일반영화
