NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,스즈메의 문단속,신카이 마코토,,(주)미디어캐슬,(주)쇼박스,20230308,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,독립/예술영화
2,대외비,이원태,"(주)트윈필름,(주)비에이엔터테인먼트",,플러스엠 엔터테인먼트,20230301,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
3,더 퍼스트 슬램덩크,이노우에 다케히코,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),20230104,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,일반영화
4,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",소토자키 하루오,,애니맥스 브로드캐스팅 코리아 유한회사,(주)디스테이션,20230302,개봉영화,장편,일본,410,,,,,애니메이션,15세이상관람가,일반영화
5,아임 히어로 더 파이널,오윤동,씨제이포디플렉스 주식회사,,"씨제이포디플렉스 주식회사,CGV ICECON",20230301,개봉영화,장편,한국,146,,,,,공연,전체관람가,일반영화
6,웅남이,박성광,(주)영화사김치,,씨제이 씨지브이(CJ CGV)(주),20230322,개봉영화,장편,한국,829,,,,,코미디,15세이상관람가,일반영화
7,소울메이트,민용근,"클라이맥스 스튜디오(주),(주)앤드마크,(주)스튜디오앤뉴,(주)키이스트",,(주)넥스트엔터테인먼트월드(NEW),20230315,개봉영화,장편,한국,749,,,,,드라마,12세이상관람가,일반영화
8,멍뭉이,김주환,"(주)와이웍스엔터테인먼트,(주)돈키호테엔터테인먼트",,(주)키다리스튜디오,20230301,개봉영화,장편,한국,649,,,,,드라마,전체관람가,일반영화
9,앤트맨과 와스프: 퀀텀매니아,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230215,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
10,서치 2,"니콜라스 D 존슨,윌 메릭",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20230222,개봉영화,장편,미국,868,,,,,미스터리,12세이상관람가,일반영화
11,카운트,권혁재,"(주)필름케이,(주)26컴퍼니",,(주)씨제이이엔엠,20230222,개봉영화,장편,한국,946,,,,,드라마,12세이상관람가,일반영화
