NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
"1","인사이드 아웃 2","켈시 만","월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오","월트디즈니컴퍼니코리아 유한책임회사","월트디즈니컴퍼니코리아 유한책임회사","20240612","개봉영화","장편","미국","2,619","54,296,410,494","5,638,833","14,707,850,087","1,452,014","애니메이션","전체관람가","일반영화"
"2","하이재킹","김성한","(주)퍼펙트스톰필름",,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리스튜디오","20240621","개봉영화","장편","한국","1,155","10,314,943,018","1,087,330","2,424,202,778","246,369","범죄","12세이상관람가","일반영화"
"3","퓨리오사: 매드맥스 사가","조지 밀러",,"워너브러더스 코리아(주)","워너브러더스 코리아(주)","20240522","개봉영화","장편","미국","1,442","7,986,194,948","786,121","2,813,924,153","259,709","액션","15세이상관람가","일반영화"
"4","원더랜드","김태용","(주)영화사봄,(주)기린제작사",,"(주)에이스메이커무비웍스","20240605","개봉영화","장편","한국","1,165","5,857,952,571","618,867","1,627,087,100","163,820","드라마","12세이상관람가","일반영화"
"5","핸섬가이즈","남동협","(주)하이브미디어코프",,"(주)넥스트엔터테인먼트월드(NEW)","20240626","개봉영화","장편","한국","965","4,224,677,026","458,626","973,699,118","103,902","코미디","15세이상관람가","일반영화"
"6","그녀가 죽었다","김세휘","엔진 필름",,"(주)콘텐츠지오,(주)아티스트스튜디오,(주)무빙픽쳐스컴퍼니","20240515","개봉영화","장편","한국","1,008","3,768,944,742","394,106","825,954,078","84,390","미스터리","15세이상관람가","일반영화"
"7","콰이어트 플레이스: 첫째 날","마이클 사노스키",,"롯데컬처웍스(주)롯데엔터테인먼트","롯데컬처웍스(주)롯데엔터테인먼트","20240626","개봉영화","장편","미국","942","3,468,856,592","358,339","1,024,066,102","100,254","스릴러","15세이상관람가","일반영화"
"8","범죄도시4","허명행","주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트","20240424","개봉영화","장편","한국","2,980","3,116,477,486","318,721","601,978,060","60,006","액션","15세이상관람가","일반영화"
"9","설계자","이요섭","영화사 집",,"(주)넥스트엔터테인먼트월드(NEW)","20240529","개봉영화","장편","한국","1,345","2,841,895,289","300,025","800,225,057","79,276","범죄","15세이상관람가","일반영화"
"10","극장판 하이큐!! 쓰레기장의 결전","미츠나카 스스무",,"에스엠지홀딩스 주식회사","(주)넥스트엔터테인먼트월드(NEW),씨제이 씨지브이(CJ CGV)(주)","20240515","개봉영화","장편","일본","1,212","1,666,253,727","162,821","540,002,555","51,763","애니메이션","전체관람가","일반영화"
