NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,샹치와 텐 링즈의 전설,데스틴 다니엘 크리튼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-09-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
2,보이스,"김선,김곡",(주)수필름,,(주)씨제이이엔엠,2021-09-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
3,기적,이장훈,(주)블러썸픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2021-09-,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
4,모가디슈,류승완,"(주)덱스터스튜디오,(주)외유내강,(주)필름케이",,롯데컬처웍스(주)롯데엔터테인먼트,2021-07-,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
5,인질,필감성,"(주)외유내강,(주)샘컴퍼니",,(주)넥스트엔터테인먼트월드(NEW),2021-08-,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
6,007 노 타임 투 다이,캐리 후쿠나가,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-09-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
7,싱크홀,김지훈,(주)더타워픽쳐스,,(주)쇼박스,2021-08-,개봉영화,장편,한국,,,,,,코미디,12세이상관람가,일반영화
8,"극장판 포켓몬스터: 정글의 아이, 코코",야지마 테츠오,,(주)포켓몬코리아,(주)넥스트엔터테인먼트월드(NEW),2021-09-,개봉영화,장편,일본,699,,,,,애니메이션,전체관람가,일반영화
9,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,쿄고쿠 타카히코,,(주)씨제이이엔엠,(주)씨제이이엔엠,2021-09-,개봉영화,장편,일본,593,,,,,애니메이션,전체관람가,일반영화
10,맨 인 더 다크 2,로도 사야구에즈,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-09-,개봉영화,장편,미국,248,,,,,공포(호러),청소년관람불가,일반영화
11,코다,션 헤이더,,판씨네마(주),판씨네마(주),2021-08-,개봉영화,장편,프랑스,308,,,,,드라마,12세이상관람가,독립/예술영화
12,캔디맨,니아 다코스타,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-09-,개봉영화,장편,미국,608,,,,,미스터리,15세이상관람가,일반영화
13,말리그넌트,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-09-,개봉영화,장편,미국,489,,,,,스릴러,청소년관람불가,일반영화
14,건파우더 밀크셰이크,나봇 파푸샤도,,(주)퍼스트런,(주)씨제이이엔엠,2021-09-,개봉영화,장편,프랑스,542,,,,,액션,청소년관람불가,일반영화
15,잔나비 판타스틱 올드패션드 리턴즈! x 넌센스 Ⅱ,,씨제이 씨지브이(CJ CGV)(주),,CGV ICECON,2021-09-,개봉영화,장편,한국,66,,,,,공연,전체관람가,일반영화
16,리스펙트,리슬 타미,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-09-,개봉영화,장편,미국,119,,,,,드라마,12세이상관람가,일반영화
17,여름날 우리,한톈,,찬란,"찬란,메가박스중앙(주)",2021-08-,개봉영화,장편,중국,262,,,,,코미디,12세이상관람가,독립/예술영화
18,뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,카키모토 코다이,,(주)애니플러스,(주)애니플러스,2021-09-,개봉영화,장편,일본,86,,,,,애니메이션,전체관람가,일반영화
19,귀문,심덕근,"(주)고스트픽처스,(주)주피터필름",,"씨제이 씨지브이(CJ CGV)(주),(주)씨네필운",2021-08-,개봉영화,장편,한국,692,,,,,미스터리,15세이상관람가,일반영화
20,좋은 사람,정욱,한국영화아카데미,,"(주)싸이더스,찬란",2021-09-,개봉영화,장편,한국,140,,,,,미스터리,12세이상관람가,독립/예술영화
21,최선의 삶,이우정,"(주)마일스톤컴퍼니,(주)모토",,(주)엣나인필름,2021-09-,개봉영화,장편,한국,101,,,,,드라마,15세이상관람가,독립/예술영화
22,퍼피 구조대 더 무비,캘런 브런커,,,롯데컬처웍스(주)롯데엔터테인먼트,2021-08-,개봉영화,장편,미국,355,,,,,애니메이션,전체관람가,일반영화
23,프리 가이,숀 레비,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-08-,개봉영화,장편,미국,750,,,,,액션,12세이상관람가,일반영화
24,용과 주근깨 공주,호소다 마모루,,"(주)얼리버드픽쳐스,와이드 릴리즈(주)",와이드 릴리즈(주),2021-09-,개봉영화,장편,일본,216,,,,,애니메이션,전체관람가,일반영화
25,아임 유어 맨,마리아 슈라더,,(주)콘텐츠게이트,(주)라이크콘텐츠,2021-09-,개봉영화,장편,독일,38,,,,,코미디,15세이상관람가,독립/예술영화
26,스피릿,일래인 보겐,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-09-,개봉영화,장편,미국,138,,,,,애니메이션,전체관람가,일반영화
27,수색자,김민섭,케이필름,,(주)콘텐츠판다,2021-09-,개봉영화,장편,한국,218,,,,,스릴러,15세이상관람가,독립/예술영화
28,토베 얀손,,,(주)영화사 진진,(주)영화사 진진,2021-09-,개봉영화,장편,기타,38,,,,,드라마,15세이상관람가,독립/예술영화
29,올드,M. 나이트 샤말란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-08-,개봉영화,장편,미국,550,,,,,공포(호러),12세이상관람가,일반영화
30,슈퍼문,홍대영,깜보 스튜디오,,예지림엔터테인먼트,2021-09-,개봉영화,장편,한국,200,,,,811,애니메이션,전체관람가,독립/예술영화
