NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
"1","파일럿","김한결","쇼트케이크(주),(주)무비락",,"롯데컬처웍스(주)롯데엔터테인먼트","20240731","개봉영화","장편","한국","1,956","37,622,162,042","4,032,627","7,841,831,752","818,209","코미디","12세이상관람가","일반영화"
"2","에이리언: 로물루스","페데 알바레즈",,"월트디즈니컴퍼니코리아 유한책임회사","월트디즈니컴퍼니코리아 유한책임회사","20240814","개봉영화","장편","미국","1,436","16,004,583,339","1,560,130","4,671,987,888","432,921","공포(호러)","15세이상관람가","일반영화"
"3","사랑의 하츄핑","김수훈","(주)에스에이엠지엔터테인먼트",,"(주)쇼박스","20240807","개봉영화","장편","한국","1,159","7,549,787,272","838,138","1,152,262,008","122,222","애니메이션","전체관람가","일반영화"
"4","슈퍼배드 4","크리스 리노드",,"유니버설픽쳐스인터내셔널 코리아(유)","유니버설픽쳐스인터내셔널 코리아(유)","20240724","개봉영화","장편","미국","1,178","6,397,596,976","704,730","1,292,506,273","134,394","애니메이션","전체관람가","일반영화"
"5","행복의 나라","추창민","(주)파파스필름,오스카10스튜디오",,"(주)넥스트엔터테인먼트월드(NEW)","20240814","개봉영화","장편","한국","1,096","6,299,715,896","681,438","1,496,056,106","158,350","드라마","12세이상관람가","일반영화"
"6","데드풀과 울버린","숀 레비",,"월트디즈니컴퍼니코리아 유한책임회사","월트디즈니컴퍼니코리아 유한책임회사","20240724","개봉영화","장편","미국","1,948","6,555,574,556","616,479","2,324,746,844","209,317","액션","청소년관람불가","일반영화"
"7","트위스터스","정이삭",,"워너브러더스 코리아(주)","워너브러더스 코리아(주)","20240814","개봉영화","장편","미국","874","5,507,377,098","531,735","1,795,417,906","165,202","액션","12세이상관람가","일반영화"
"8","인사이드 아웃 2","켈시 만","월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오","월트디즈니컴퍼니코리아 유한책임회사","월트디즈니컴퍼니코리아 유한책임회사","20240612","개봉영화","장편","미국","2,619","3,595,758,622","376,993","860,462,122","86,013","애니메이션","전체관람가","일반영화"
"9","빅토리","박범수","(주)안나푸르나필름",,"(주)마인드마크","20240814","개봉영화","장편","한국","789","3,301,092,922","362,635","911,996,086","96,954","드라마","12세이상관람가","일반영화"
"10","늘봄가든","구태진","(주)바이어스이엔티",,"(주)바이포엠스튜디오,(주)제이앤씨미디어그룹","20240821","개봉영화","장편","한국","875","2,909,405,103","304,231","423,042,363","43,592","공포(호러)","15세이상관람가","일반영화"
"11","리볼버","오승욱","(주)사나이픽처스",,"플러스엠 엔터테인먼트","20240807","개봉영화","장편","한국","861","2,300,008,453","245,683","696,029,366","69,163","범죄","15세이상관람가","일반영화"
