NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,탑건: 매버릭,조셉 코신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
2,토르: 러브 앤 썬더,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-07-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
3,한산: 용의 출현,김한민,(주)빅스톤픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-,개봉영화,장편,한국,,,,,,액션,12세이상관람가,일반영화
4,미니언즈2,카일 발다,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-07-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
5,헤어질 결심,박찬욱,(주)모호필름,,(주)씨제이이엔엠,2022-06-,개봉영화,장편,한국,,,,,,미스터리,15세이상관람가,일반영화
6,외계+인 1부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,2022-07-,개봉영화,장편,한국,,,,,,액션,12세이상관람가,일반영화
7,범죄도시 2,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠",2022-05-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
8,명탐정 코난: 할로윈의 신부,미츠나카 스스무,,(주)씨제이이엔엠,(주)씨제이이엔엠,2022-07-,개봉영화,장편,일본,758,,,,,애니메이션,12세이상관람가,일반영화
9,마녀(魔女) Part2. The Other One,박훈정,"(주)영화사 금월,(주)스튜디오앤뉴,(주)페퍼민트앤컴퍼니",,(주)넥스트엔터테인먼트월드(NEW),2022-06-,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
10,뽀로로 극장판 드래곤캐슬 대모험,"강승훈,윤제완",(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2022-07-,개봉영화,장편,한국,748,,,,,애니메이션,전체관람가,일반영화
