NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,파묘,장재현,"(주)쇼박스,(주)엠씨엠씨",,(주)쇼박스,20240222,개봉영화,장편,한국,2355,35074828666,3697250,8500054021,873434,미스터리,15세이상관람가,일반영화
2,웡카,폴 킹,,워너브러더스 코리아(주),워너브러더스 코리아(주),20240131,개봉영화,장편,미국,1753,28559235141,2943400,8372668173,827033,판타지,전체관람가,일반영화
3,시민덕희,박영주,"(주)씨제스엔터테인먼트,페이지원필름(주)",,(주)쇼박스,20240124,개봉영화,장편,한국,1272,9958956001,1038456,1854503017,190172,드라마,15세이상관람가,일반영화
4,건국전쟁,김덕영,다큐스토리,,다큐스토리,20240201,개봉영화,장편,한국,224,9619800158,1031018,2831349360,304291,다큐멘터리,12세이상관람가,일반영화
5,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",소토자키 하루오,,애니맥스 브로드캐스팅 코리아 유한회사,씨제이 씨지브이(CJ CGV)(주),20240214,개봉영화,장편,일본,393,4901269600,426871,1269705100,100125,애니메이션,15세이상관람가,일반영화
6,도그데이즈,김덕민,(주)씨제이이엔엠,,(주)씨제이이엔엠,20240207,개봉영화,장편,한국,847,3467851608,356139,834193314,82105,드라마,12세이상관람가,일반영화
7,소풍,김용균,(주)로케트필름,,롯데컬처웍스(주)롯데엔터테인먼트,20240207,개봉영화,장편,한국,729,2801447020,312731,690619570,77334,드라마,12세이상관람가,독립/예술영화
8,듄: 파트2,드니 빌뇌브,,워너브러더스 코리아(주),워너브러더스 코리아(주),20240228,개봉영화,장편,미국,1544,2799033113,268510,1036089083,92188,액션,12세이상관람가,일반영화
9,데드맨,하준원,"(주)팔레트픽처스,(주)사람엔터테인먼트",,플러스엠 엔터테인먼트,20240207,개봉영화,장편,한국,800,2257288704,236624,514590306,52144,범죄,15세이상관람가,일반영화
10,아가일,매튜 본,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20240207,개봉영화,장편,미국,841,1421458457,138833,555631757,51354,액션,12세이상관람가,일반영화
11,아기상어 극장판: 사이렌 스톤의 비밀,,,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),20240207,개봉영화,장편,미국,578,878995204,99452,176471289,19371,애니메이션,전체관람가,독립/예술영화
12,외계+인 2부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,20240110,개봉영화,장편,한국,1390,774436918,80347,168512276,16671,기타,12세이상관람가,일반영화
13,추락의 해부,쥐스틴 트리에,,그린나래미디어(주),(주)스튜디오디에이치엘,20240131,개봉영화,장편,프랑스,236,719629983,72886,428836498,42433,드라마,15세이상관람가,독립/예술영화
14,서울의 봄,김성수,(주)하이브미디어코프,,플러스엠 엔터테인먼트,20231122,개봉영화,장편,한국,2328,586214802,64667,160878188,17097,드라마,12세이상관람가,일반영화
15,정글번치: 월드투어,,,(주)퍼스트런,(주)무비다이브,20240131,개봉영화,장편,프랑스,193,414940600,49908,57373000,7073,애니메이션,전체관람가,독립/예술영화
16,위시,"크리스 벅,폰 비라선손",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20240103,개봉영화,장편,미국,1421,431697343,46801,88049708,9070,애니메이션,전체관람가,일반영화
17,사운드 오브 프리덤,알레한드로 고메즈 몬테베르드,,(주)콘텐츠판다,(주)넥스트엔터테인먼트월드(NEW),20240221,개봉영화,장편,미국,248,426112900,38674,135017000,12909,범죄,15세이상관람가,일반영화
18,괴물,고레에다 히로카즈,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),20231129,개봉영화,장편,일본,647,338414769,33440,221376982,21345,드라마,12세이상관람가,독립/예술영화
19,인투 더 월드,벤자민 레너,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20240110,개봉영화,장편,미국,839,282759961,32074,47462185,5027,애니메이션,전체관람가,일반영화
20,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,오네 히토시,,(주)씨제이이엔엠,(주)씨제이이엔엠,20231222,개봉영화,장편,일본,883,252660276,26362,30110097,3043,애니메이션,전체관람가,일반영화
