NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,공조2: 인터내셔날,이석훈,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2022-09-,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
2,육사오(6/45),박규태,"(주)티피에스컴퍼니,(주)싸이더스",,"(주)홈초이스,(주)싸이더스",2022-08-,개봉영화,장편,한국,,,,,,코미디,12세이상관람가,일반영화
3,헌트,이정재,"(주)아티스트스튜디오,(주)사나이픽처스",,메가박스중앙(주)플러스엠,2022-08-,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
4,늑대사냥,김홍선,"(주)콘텐츠지,(주)영화사채움",,"TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)",2022-09-,개봉영화,장편,한국,,,,,,액션,청소년관람불가,일반영화
5,정직한 후보2,장유정,"(주)수필름,(주)홍필름",,(주)넥스트엔터테인먼트월드(NEW),2022-09-,개봉영화,장편,한국,,,,,,코미디,12세이상관람가,일반영화
6,한산: 용의 출현,김한민,(주)빅스톤픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-,개봉영화,장편,한국,,,,,,액션,12세이상관람가,일반영화
7,극장판 엄마 까투리: 도시로 간 까투리 가족,정길훈,(주)퍼니플럭스,,(주)넥스트엔터테인먼트월드(NEW),2022-09-,개봉영화,장편,한국,616,,,,,애니메이션,전체관람가,일반영화
8,탑건: 매버릭,조셉 코신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
9,아바타 리마스터링,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-09-,개봉영화,장편,미국,285,,,,,SF,12세이상관람가,일반영화
10,인생은 아름다워,최국희,더램프(주),,롯데컬처웍스(주)롯데엔터테인먼트,2022-09-,개봉영화,장편,한국,,,,,,뮤지컬,12세이상관람가,일반영화
11,블랙폰,스콧 데릭슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-09-,개봉영화,장편,미국,495,,,,,공포(호러),15세이상관람가,일반영화
12,인생은 뷰티풀: 비타돌체,"김선형,오윤동",씨제이포디플렉스 주식회사,,"씨제이 씨지브이(CJ CGV)(주),씨제이포디플렉스 주식회사",2022-09-,개봉영화,장편,한국,107,,,,,다큐멘터리,전체관람가,일반영화
13,리미트,이승준,"(주)베러투모로우,나로픽처스(주),(유)조이앤시네마",,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2022-08-,개봉영화,장편,한국,687,,,,,범죄,15세이상관람가,일반영화
14,놉,조던 필,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-08-,개봉영화,장편,미국,,,,,,미스터리,12세이상관람가,일반영화
15,"어쩌다 공주, 닭냥이 왕자를 부탁해!",줄리앙 프루네,,찬란,(주)팝엔터테인먼트,2022-09-,개봉영화,장편,프랑스,306,,,,,애니메이션,전체관람가,독립/예술영화
16,시맨틱 에러: 더 무비,김수정,주식회사 왓챠,,주식회사 왓챠,2022-08-,개봉영화,장편,한국,57,,,,,멜로/로맨스,12세이상관람가,일반영화
17,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,타카하시 와타루,,(주)씨제이이엔엠,(주)씨제이이엔엠,2022-09-,개봉영화,장편,일본,873,,,,,애니메이션,전체관람가,일반영화
18,극장판 5등분의 신부,진보 마사토,,(주)애니플러스,(주)애니플러스,2022-09-,개봉영화,장편,일본,91,,,,,애니메이션,12세이상관람가,일반영화
19,쥬라기캅스 극장판: 공룡시대 대모험,김호락,(주)스튜디오버튼,,메가박스중앙(주)플러스엠,2022-09-,개봉영화,장편,한국,453,,,,,애니메이션,전체관람가,일반영화
20,사랑할 땐 누구나 최악이 된다,요아킴 트리에,,그린나래미디어(주),"그린나래미디어(주),(주)하이스트레인저",2022-08-,개봉영화,장편,노르웨이,68,,,,,멜로/로맨스,15세이상관람가,독립/예술영화
21,드래곤볼 슈퍼: 슈퍼 히어로,코다마 테츠로,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-09-,개봉영화,장편,일본,360,,,,,애니메이션,12세이상관람가,일반영화
22,미니언즈2,카일 발다,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-07-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
23,극장판 헬로카봇: 수상한 마술단의 비밀,"최신규,이슬기,정승원","(주)초이락컨텐츠컴퍼니,스튜디오더블유바바(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2022-09-,개봉영화,장편,한국,790,,,,,애니메이션,전체관람가,일반영화
