NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,가디언즈 오브 갤럭시: Volume 3,제임스 건,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230503,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
2,분노의 질주: 라이드 오어 다이,루이스 리테리어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230517,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
3,슈퍼 마리오 브라더스,,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230426,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
4,범죄도시3,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",20230531,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
5,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,하시모토 마사카즈,,(주)씨제이이엔엠,(주)씨제이이엔엠,20230504,개봉영화,장편,일본,844,,,,,애니메이션,전체관람가,일반영화
6,드림,이병헌,(주)옥토버시네마,,플러스엠 엔터테인먼트,20230426,개봉영화,장편,한국,,,,,,코미디,12세이상관람가,일반영화
7,인어공주,롭 마샬,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230524,개봉영화,장편,미국,,,,,,뮤지컬,전체관람가,일반영화
8,스즈메의 문단속,신카이 마코토,,(주)미디어캐슬,(주)쇼박스,20230308,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,독립/예술영화
9,존 윅 4,채드 스타헬스키,,"(주)제이앤씨미디어그룹,(유)조이앤시네마",(주)레드아이스 엔터테인먼트,20230412,개봉영화,장편,미국,,,,,,액션,청소년관람불가,일반영화
10,문재인입니다,이창재,다이스필름(주),,유한회사 엠프로젝트,20230510,개봉영화,장편,한국,602,,,,,다큐멘터리,12세이상관람가,독립/예술영화
11,옥수역귀신,정용기,(주)영화사조아,,(주)스마일이엔티,20230419,개봉영화,장편,한국,314,,,,,공포(호러),15세이상관람가,일반영화
12,더 퍼스트 슬램덩크,이노우에 다케히코,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),20230104,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,일반영화
13,남은 인생 10년,후지이 미치히토,,(주)엔케이컨텐츠,(주)디스테이션,20230524,개봉영화,장편,일본,201,,,,,멜로/로맨스,12세이상관람가,일반영화
14,슬픔의 삼각형,루벤 외스틀룬드,,그린나래미디어(주),"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)",20230517,개봉영화,장편,미국,294,,,,,코미디,15세이상관람가,독립/예술영화
15,리바운드,장항준,"(주)비에이엔터테인먼트,워크하우스컴퍼니(주)",,(주)바른손이앤에이,20230405,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
16,롱디,임재완,"트웰브져니(주),바젤레브스프로덕션",,(주)넥스트엔터테인먼트월드(NEW),20230510,개봉영화,장편,한국,262,,,,,멜로/로맨스,12세이상관람가,일반영화
17,메리 마이 데드 바디,청웨이하오,,(주)리안컨텐츠,"주식회사 원더스튜디오,(주)리안컨텐츠",20230517,개봉영화,장편,대만,103,,,,,코미디,12세이상관람가,일반영화
